"index","route","label","domain","kind","section","public","purpose","data_contract","completion_criteria","current_status"
"28","#/dex-discovery","DEX Discovery","markets","analytical","Discover","false","Executable DEX Discovery analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"29","#/global-charts","Global Charts","markets","analytical","Discover","false","Executable Global Charts analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"30","#/converter","Converter","markets","analytical","Discover","false","Executable Converter analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"31","#/news-research","News & Research","research","research","Discover","false","Executable News & Research research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"32","#/trust-center","Trust Center","evidence","research","Discover","false","Executable Trust Center research route.","Evidence, audit, methodology, and provider-status services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"33","#/asset-intelligence","Asset Intelligence","markets","analytical","Intelligence","false","Executable Asset Intelligence analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"34","#/advanced-chart","Advanced Chart Studio","markets","analytical","Intelligence","false","Executable Advanced Chart Studio analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"35","#/fundamentals-estimates","Fundamentals & Estimates","research","research","Intelligence","false","Executable Fundamentals & Estimates research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"36","#/filing-workspace","Filing Workspace","research","research","Intelligence","false","Executable Filing Workspace research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"37","#/event-calendar","Event Calendar","research","research","Intelligence","false","Executable Event Calendar research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"38","#/comparison-lab","Comparison Lab","research","analytical","Intelligence","false","Executable Comparison Lab analytical route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"39","#/market","Market Overview","markets","analytical","Intelligence","true","Executable Market Overview analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"40","#/rankings","Legacy Rankings","markets","analytical","Intelligence","false","Executable Legacy Rankings analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"41","#/asset","Asset Dossier","markets","analytical","Workspace","true","Executable Asset Dossier analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"42","#/watchlist","Watchlists","workspaces","analytical","Workspace","false","Executable Watchlists analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"43","#/alert-center","Alert Rules","workspaces","analytical","Workspace","false","Executable Alert Rules analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"44","#/notification-center","Notifications","workspaces","analytical","Workspace","false","Executable Notifications analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"45","#/screener-lab","Screener Lab","workspaces","analytical","Workspace","false","Executable Screener Lab analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"46","#/portfolio-analytics","Portfolio Analytics","workspaces","analytical","Workspace","false","Executable Portfolio Analytics analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"47","#/research-workspace","Research Workspace","research","research","Workspace","false","Executable Research Workspace research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"48","#/onboarding","Guided Onboarding","workspaces","analytical","Workspace","false","Executable Guided Onboarding analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"49","#/notification-schedules","Notification Schedules","workspaces","analytical","Workspace","false","Executable Notification Schedules analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"50","#/formula-screener","Formula Screener","workspaces","analytical","Workspace","false","Executable Formula Screener analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"51","#/portfolio-attribution","Portfolio Attribution","workspaces","analytical","Workspace","false","Executable Portfolio Attribution analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"52","#/import-center","Import Center","workspaces","analytical","Workspace","false","Executable Import Center analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"53","#/research-history","Research History","research","research","Workspace","false","Executable Research History research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"54","#/migration-center","Migration Center","operations","operational","Operations","false","Executable Migration Center operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"55","#/theme-lab","Theme Laboratory","experience","operational","Platform","false","Executable Theme Laboratory operational route.","Layout preference service; visual fallback remains local.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"56","#/identity-access","Identity & Access","operations","operational","Control","false","Executable Identity & Access operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"57","#/data-mesh","Provider Runtime","data","operational","Control","false","Executable Provider Runtime operational route.","Provider runtime, instrument, timeseries, stream, and entitlement services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"58","#/instrument-master","Instrument Master","data","operational","Control","false","Executable Instrument Master operational route.","Provider runtime, instrument, timeseries, stream, and entitlement services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"59","#/timeseries-lab","Time Series Lab","data","operational","Data Plane","false","Executable Time Series Lab operational route.","Provider runtime, instrument, timeseries, stream, and entitlement services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"60","#/stream-operations","Stream Operations","data","operational","Data Plane","false","Executable Stream Operations operational route.","Provider runtime, instrument, timeseries, stream, and entitlement services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"61","#/observability","Observability Center","operations","operational","Operations","false","Executable Observability Center operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"62","#/decision-provenance","Decision Provenance","evidence","research","Evidence","false","Executable Decision Provenance research route.","Evidence, audit, methodology, and provider-status services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"63","#/security-evidence","Security Evidence","evidence","operational","Evidence","false","Executable Security Evidence operational route.","Evidence, audit, methodology, and provider-status services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"64","#/category-detail","Category Detail","markets","analytical","Detail","false","Executable Category Detail analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"65","#/venue-detail","Venue Detail","markets","analytical","Detail","false","Executable Venue Detail analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"66","#/research-article","Research Article","research","research","Detail","false","Executable Research Article research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
