"frame_id","page","frame_name","route","purpose","viewport","persona","state","source_requirements","interaction_notes","accessibility_notes","responsive_notes","backend_dependencies"
"QF-0011","11 — Data tables","11 — Data tables · Foundation","design-system","Editable foundation for Data tables.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0012","12 — Charts and heatmaps","12 — Charts and heatmaps · Foundation","design-system","Editable foundation for Charts and heatmaps.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0013","13 — Provenance components","13 — Provenance components · Foundation","design-system","Editable foundation for Provenance components.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0014","14 — Persona system","14 — Persona system · Foundation","design-system","Editable foundation for Persona system.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0015","15 — Responsive behavior","15 — Responsive behavior · Foundation","design-system","Editable foundation for Responsive behavior.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0016","16 — Public storytelling","16 — Public storytelling · Foundation","design-system","Editable foundation for Public storytelling.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0017","17 — Market discovery","17 — Market discovery · Foundation","design-system","Editable foundation for Market discovery.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0018","18 — Asset intelligence","18 — Asset intelligence · Foundation","design-system","Editable foundation for Asset intelligence.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0019","19 — Derivatives","19 — Derivatives · Foundation","design-system","Editable foundation for Derivatives.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0020","20 — Research","20 — Research · Foundation","design-system","Editable foundation for Research.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0021","21 — Portfolio","21 — Portfolio · Foundation","design-system","Editable foundation for Portfolio.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0022","22 — Operations","22 — Operations · Foundation","design-system","Editable foundation for Operations.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0023","23 — Trust and company","23 — Trust and company · Foundation","design-system","Editable foundation for Trust and company.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0024","24 — States and edge cases","24 — States and edge cases · Foundation","design-system","Editable foundation for States and edge cases.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0025","25 — Developer handoff","25 — Developer handoff · Foundation","design-system","Editable foundation for Developer handoff.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0026","01 — Cover and product principles","Secure Login · desktop-1440","#/auth-login","Secure Login access experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity and session services."
"QF-0027","01 — Cover and product principles","Secure Login · mobile-390","#/auth-login","Secure Login access experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity and session services."
"QF-0028","01 — Cover and product principles","Create Organization · desktop-1440","#/auth-register","Create Organization access experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity and session services."
"QF-0029","01 — Cover and product principles","Create Organization · mobile-390","#/auth-register","Create Organization access experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity and session services."
"QF-0030","24 — States and edge cases","Recover Account · desktop-1440","#/auth-recovery","Recover Account access experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity and session services."
"QF-0031","24 — States and edge cases","Recover Account · mobile-390","#/auth-recovery","Recover Account access experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity and session services."
"QF-0032","22 — Operations","Session Center · desktop-1440","#/account-session","Session Center access experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity and session services."
"QF-0033","22 — Operations","Session Center · mobile-390","#/account-session","Session Center access experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity and session services."
"QF-0034","22 — Operations","MFA Setup · desktop-1440","#/security-setup","MFA Setup access experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity and session services."
"QF-0035","22 — Operations","MFA Setup · mobile-390","#/security-setup","MFA Setup access experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity and session services."
"QF-0036","22 — Operations","Passkey Center · desktop-1440","#/passkey-center","Passkey Center access experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity and session services."
"QF-0037","22 — Operations","Passkey Center · mobile-390","#/passkey-center","Passkey Center access experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity and session services."
"QF-0038","22 — Operations","Recovery Controls · desktop-1440","#/account-recovery","Recovery Controls access experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity and session services."
"QF-0039","22 — Operations","Recovery Controls · mobile-390","#/account-recovery","Recovery Controls access experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity and session services."
"QF-0040","22 — Operations","Secure Import Vault · desktop-1440","#/secure-import-vault","Secure Import Vault operational experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0041","22 — Operations","Secure Import Vault · mobile-390","#/secure-import-vault","Secure Import Vault operational experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0042","22 — Operations","Delivery Operations · desktop-1440","#/delivery-operations","Delivery Operations operational experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0043","22 — Operations","Delivery Operations · mobile-390","#/delivery-operations","Delivery Operations operational experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0044","22 — Operations","Platform Readiness · desktop-1440","#/platform-readiness","Platform Readiness operational experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0045","22 — Operations","Platform Readiness · mobile-390","#/platform-readiness","Platform Readiness operational experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0046","22 — Operations","Secret Rotation · desktop-1440","#/secret-rotation","Secret Rotation operational experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0047","22 — Operations","Secret Rotation · mobile-390","#/secret-rotation","Secret Rotation operational experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0048","22 — Operations","Quarantine Review · desktop-1440","#/quarantine-review","Quarantine Review operational experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0049","22 — Operations","Quarantine Review · mobile-390","#/quarantine-review","Quarantine Review operational experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0050","22 — Operations","Staging Assurance · desktop-1440","#/staging-assurance","Staging Assurance operational experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0051","22 — Operations","Staging Assurance · mobile-390","#/staging-assurance","Staging Assurance operational experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Identity, storage, scanner, worker, observability, delivery, or readiness services."
"QF-0052","22 — Operations","Live Market Command · desktop-1440","#/live-markets","Live Market Command analytical experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract."
"QF-0053","22 — Operations","Live Market Command · mobile-390","#/live-markets","Live Market Command analytical experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract."
"QF-0054","22 — Operations","Quant Calculator Center · desktop-1440","#/calculator-center","Quant Calculator Center analytical experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services."
"QF-0055","22 — Operations","Quant Calculator Center · mobile-390","#/calculator-center","Quant Calculator Center analytical experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services."
"QF-0056","22 — Operations","India Finance & SIP · desktop-1440","#/india-finance","India Finance & SIP analytical experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services."
"QF-0057","22 — Operations","India Finance & SIP · mobile-390","#/india-finance","India Finance & SIP analytical experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services."
"QF-0058","22 — Operations","Indicator Library · desktop-1440","#/indicator-library","Indicator Library analytical experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services."
"QF-0059","22 — Operations","Indicator Library · mobile-390","#/indicator-library","Indicator Library analytical experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services."
"QF-0060","22 — Operations","Formula Library · desktop-1440","#/formula-library","Formula Library analytical experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services."
"QF-0061","22 — Operations","Formula Library · mobile-390","#/formula-library","Formula Library analytical experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services."
"QF-0062","22 — Operations","Saved Calculations · desktop-1440","#/saved-calculations","Saved Calculations analytical experience with explicit evidence and failure boundaries.","desktop-1440","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Stable dense workspace with sticky context and bounded panels.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services."
"QF-0063","22 — Operations","Saved Calculations · mobile-390","#/saved-calculations","Saved Calculations analytical experience with explicit evidence and failure boundaries.","mobile-390","Default / inherited","default","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Prioritised stack, filter sheet, touch-safe controls, persistent truth metadata.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services."
