"index","route","label","domain","kind","section","public","purpose","data_contract","completion_criteria","current_status"
"27","#/discovery-hub","Discovery Overview","markets","analytical","Discover","false","Executable Discovery Overview analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"28","#/asset-rankings","Asset Rankings","markets","analytical","Discover","true","Executable Asset Rankings analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"29","#/search","Universal Search","markets","analytical","Discover","false","Executable Universal Search analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"30","#/categories","Categories","markets","analytical","Discover","false","Executable Categories analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"31","#/venues","Venues","markets","analytical","Discover","false","Executable Venues analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"32","#/dex-discovery","DEX Discovery","markets","analytical","Discover","false","Executable DEX Discovery analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"33","#/global-charts","Global Charts","markets","analytical","Discover","false","Executable Global Charts analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"34","#/converter","Converter","markets","analytical","Discover","false","Executable Converter analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"35","#/news-research","AI, News & Community","research","research","Discover","true","Executable AI, News & Community research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"36","#/trust-center","Trust Center","evidence","research","Discover","false","Executable Trust Center research route.","Evidence, audit, methodology, and provider-status services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"37","#/asset-intelligence","Asset Intelligence","markets","analytical","Intelligence","false","Executable Asset Intelligence analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"38","#/advanced-chart","Advanced Chart Studio","markets","analytical","Intelligence","false","Executable Advanced Chart Studio analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"39","#/fundamentals-estimates","Fundamentals & Estimates","research","research","Intelligence","false","Executable Fundamentals & Estimates research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"40","#/filing-workspace","Filing Workspace","research","research","Intelligence","false","Executable Filing Workspace research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"41","#/event-calendar","Event Calendar","research","research","Intelligence","false","Executable Event Calendar research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"42","#/comparison-lab","Comparison Lab","research","analytical","Intelligence","false","Executable Comparison Lab analytical route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"43","#/market","Market Command","markets","analytical","Intelligence","true","Executable Market Command analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"44","#/rankings","Legacy Rankings","markets","analytical","Intelligence","false","Executable Legacy Rankings analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"45","#/asset","Asset Dossier","markets","analytical","Workspace","true","Executable Asset Dossier analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"46","#/watchlist","Watchlists","workspaces","analytical","Workspace","false","Executable Watchlists analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"47","#/alert-center","Alert Rules","workspaces","analytical","Workspace","false","Executable Alert Rules analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"48","#/notification-center","Notifications","workspaces","analytical","Workspace","false","Executable Notifications analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"49","#/screener-lab","Screener Lab","workspaces","analytical","Workspace","false","Executable Screener Lab analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"50","#/portfolio-analytics","Portfolio Analytics","workspaces","analytical","Workspace","false","Executable Portfolio Analytics analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"51","#/research-workspace","Research Workspace","research","research","Workspace","false","Executable Research Workspace research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"52","#/onboarding","Guided Onboarding","workspaces","analytical","Workspace","false","Executable Guided Onboarding analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"53","#/notification-schedules","Notification Schedules","workspaces","analytical","Workspace","false","Executable Notification Schedules analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"54","#/formula-screener","Formula Screener","workspaces","analytical","Workspace","false","Executable Formula Screener analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"55","#/portfolio-attribution","Portfolio Attribution","workspaces","analytical","Workspace","false","Executable Portfolio Attribution analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"56","#/import-center","Import Center","workspaces","analytical","Workspace","false","Executable Import Center analytical route.","Workspace, portfolio, screener, alert, notification, import, or research service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"57","#/research-history","Research History","research","research","Workspace","false","Executable Research History research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"58","#/migration-center","Migration Center","operations","operational","Operations","false","Executable Migration Center operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"59","#/theme-lab","Theme Studio","experience","operational","Platform","false","Executable Theme Studio operational route.","Layout preference service; visual fallback remains local.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"60","#/identity-access","Identity & Access","operations","operational","Control","false","Executable Identity & Access operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"61","#/data-mesh","Provider Runtime","data","operational","Control","false","Executable Provider Runtime operational route.","Provider runtime, instrument, timeseries, stream, and entitlement services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"62","#/instrument-master","Instrument Master","data","operational","Control","false","Executable Instrument Master operational route.","Provider runtime, instrument, timeseries, stream, and entitlement services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"63","#/timeseries-lab","Time Series Lab","data","operational","Data Plane","false","Executable Time Series Lab operational route.","Provider runtime, instrument, timeseries, stream, and entitlement services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"64","#/stream-operations","Stream Operations","data","operational","Data Plane","false","Executable Stream Operations operational route.","Provider runtime, instrument, timeseries, stream, and entitlement services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"65","#/observability","Observability Center","operations","operational","Operations","false","Executable Observability Center operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"66","#/decision-provenance","Decision Provenance","evidence","research","Evidence","false","Executable Decision Provenance research route.","Evidence, audit, methodology, and provider-status services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"67","#/qelly-verify","Qelly Verify","evidence","research","Evidence","true","Executable Qelly Verify research route.","Evidence, audit, methodology, and provider-status services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"68","#/security-evidence","Security Evidence","evidence","operational","Evidence","false","Executable Security Evidence operational route.","Evidence, audit, methodology, and provider-status services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"69","#/category-detail","Category Detail","markets","analytical","Detail","false","Executable Category Detail analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"70","#/venue-detail","Venue Detail","markets","analytical","Detail","false","Executable Venue Detail analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"71","#/research-article","Research Article","research","research","Detail","false","Executable Research Article research route.","Research, evidence, event, or asset-intelligence service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
