feature_id,domain,capability,feature,priority,status,evidence,truth_boundary,test_evidence,acceptance_coverage,production_dependency
QF-0011,Public Discovery,Cross-Asset Rankings,configurable metrics,P1,partial-local-contract,src/discovery/discovery-service.mjs#rankings; apps/web/public/assets/app.js#renderAssetRankings; src/discovery/saved-discovery-store.mjs,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0012,Public Discovery,Cross-Asset Rankings,market-session status,P1,partial-local-contract,src/discovery/discovery-service.mjs#rankings; apps/web/public/assets/app.js#renderAssetRankings; src/discovery/saved-discovery-store.mjs,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0013,Public Discovery,Cross-Asset Rankings,compare tray,P1,implemented-local-foundation,src/discovery/discovery-service.mjs#rankings; apps/web/public/assets/app.js#renderAssetRankings; src/discovery/saved-discovery-store.mjs,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0014,Public Discovery,Cross-Asset Rankings,saved screens,P2,implemented-local-foundation,src/discovery/discovery-service.mjs#rankings; apps/web/public/assets/app.js#renderAssetRankings; src/discovery/saved-discovery-store.mjs,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0015,Public Discovery,Crypto Rankings,Crypto rankings,P0,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0016,Public Discovery,Crypto Rankings,dominance,P0,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0017,Public Discovery,Crypto Rankings,categories,P1,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0018,Public Discovery,Crypto Rankings,supply,P1,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0019,Public Discovery,Crypto Rankings,FDV,P1,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0020,Public Discovery,Crypto Rankings,volume,P2,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0021,Public Discovery,Crypto Rankings,liquidity,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0022,Public Discovery,Crypto Rankings,chain,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0023,Public Discovery,Crypto Rankings,holder and security signals,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0024,Public Discovery,Equity Rankings,Equity rankings,P0,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0025,Public Discovery,Equity Rankings,region/exchange,P0,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0026,Public Discovery,Equity Rankings,sector,P1,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0027,Public Discovery,Equity Rankings,valuation,P1,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0028,Public Discovery,Equity Rankings,growth,P1,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0029,Public Discovery,Equity Rankings,earnings,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0030,Public Discovery,Equity Rankings,dividends,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0031,Public Discovery,Equity Rankings,analyst revisions,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0032,Public Discovery,Equity Rankings,session status,P2,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0033,Public Discovery,ETF Rankings,ETF rankings,P0,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,globalCharts","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0034,Public Discovery,ETF Rankings,issuer,P0,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,globalCharts","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0035,Public Discovery,ETF Rankings,AUM,P1,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,globalCharts","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0036,Public Discovery,ETF Rankings,expense ratio,P1,production-deferred,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,globalCharts",Specialized licensed/live historical data is absent; no fabricated zero substitution.,tests/wave5-discovery.test.mjs; tests/server.test.mjs,Not represented as working production capability; explicit disabled/deferred boundary retained.,Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0037,Public Discovery,ETF Rankings,flows,P1,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,globalCharts","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0038,Public Discovery,ETF Rankings,premium/discount,P2,production-deferred,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,globalCharts",Specialized licensed/live historical data is absent; no fabricated zero substitution.,tests/wave5-discovery.test.mjs; tests/server.test.mjs,Not represented as working production capability; explicit disabled/deferred boundary retained.,Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0039,Public Discovery,ETF Rankings,holdings,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,globalCharts","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0040,Public Discovery,ETF Rankings,replication,P2,production-deferred,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,globalCharts",Specialized licensed/live historical data is absent; no fabricated zero substitution.,tests/wave5-discovery.test.mjs; tests/server.test.mjs,Not represented as working production capability; explicit disabled/deferred boundary retained.,Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0041,Public Discovery,ETF Rankings,distribution yield,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,globalCharts","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0042,Public Discovery,FX and Rates,FX matrix,P0,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,overview","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0043,Public Discovery,FX and Rates,spot/reference rates,P0,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,overview","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0044,Public Discovery,FX and Rates,central-bank rates,P1,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,overview","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0045,Public Discovery,FX and Rates,yield curves,P1,production-deferred,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,overview",Specialized licensed/live historical data is absent; no fabricated zero substitution.,tests/wave5-discovery.test.mjs; tests/server.test.mjs,Not represented as working production capability; explicit disabled/deferred boundary retained.,Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0046,Public Discovery,FX and Rates,carry,P1,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,overview","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0047,Public Discovery,FX and Rates,volatility,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,overview","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0048,Public Discovery,FX and Rates,calendars,P2,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings,overview","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0049,Public Discovery,Commodities,Commodity rankings,P0,implemented-local-foundation,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0050,Public Discovery,Commodities,spot/futures curves,P0,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0051,Public Discovery,Commodities,contract months,P1,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0052,Public Discovery,Commodities,inventories,P1,production-deferred,"src/discovery/discovery-service.mjs#discoveryAssets,rankings",Specialized licensed/live historical data is absent; no fabricated zero substitution.,tests/wave5-discovery.test.mjs; tests/server.test.mjs,Not represented as working production capability; explicit disabled/deferred boundary retained.,Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0053,Public Discovery,Commodities,seasonality,P1,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0054,Public Discovery,Commodities,roll yield,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0055,Public Discovery,Commodities,producer data,P2,partial-local-contract,"src/discovery/discovery-service.mjs#discoveryAssets,rankings","Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0056,Public Discovery,Categories,Cross-asset categories,P0,implemented-local-foundation,src/discovery/discovery-service.mjs#categories,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0057,Public Discovery,Categories,performance,P0,implemented-local-foundation,src/discovery/discovery-service.mjs#categories,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0058,Public Discovery,Categories,market cap/AUM,P1,implemented-local-foundation,src/discovery/discovery-service.mjs#categories,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0059,Public Discovery,Categories,volume,P1,implemented-local-foundation,src/discovery/discovery-service.mjs#categories,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0060,Public Discovery,Categories,breadth,P1,implemented-local-foundation,src/discovery/discovery-service.mjs#categories,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0061,Public Discovery,Categories,constituent count,P2,implemented-local-foundation,src/discovery/discovery-service.mjs#categories,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0062,Public Discovery,Categories,trend,P2,implemented-local-foundation,src/discovery/discovery-service.mjs#categories,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0063,Public Discovery,Category Detail,Category identity,P0,implemented-local-foundation,src/discovery/discovery-service.mjs#category; apps/web/public/assets/app.js#renderCategoryDetail,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0064,Public Discovery,Category Detail,constituent ranking,P0,implemented-local-foundation,src/discovery/discovery-service.mjs#category; apps/web/public/assets/app.js#renderCategoryDetail,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0065,Public Discovery,Category Detail,breadth,P1,implemented-local-foundation,src/discovery/discovery-service.mjs#category; apps/web/public/assets/app.js#renderCategoryDetail,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0066,Public Discovery,Category Detail,flows,P1,partial-local-contract,src/discovery/discovery-service.mjs#category; apps/web/public/assets/app.js#renderCategoryDetail,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Parent route/domain is executable, but this specific metric or production depth is incomplete.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0067,Public Discovery,Category Detail,news,P1,implemented-local-foundation,src/discovery/discovery-service.mjs#category; apps/web/public/assets/app.js#renderCategoryDetail,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0068,Public Discovery,Category Detail,events,P2,implemented-local-foundation,src/discovery/discovery-service.mjs#category; apps/web/public/assets/app.js#renderCategoryDetail,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0069,Public Discovery,Category Detail,risk,P2,implemented-local-foundation,src/discovery/discovery-service.mjs#category; apps/web/public/assets/app.js#renderCategoryDetail,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0070,Public Discovery,Category Detail,correlations,P2,implemented-local-foundation,src/discovery/discovery-service.mjs#category; apps/web/public/assets/app.js#renderCategoryDetail,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0071,Public Discovery,Exchange Rankings,Venue rankings,P0,implemented-local-foundation,src/discovery/discovery-service.mjs#venues,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0072,Public Discovery,Exchange Rankings,spot/derivatives/DEX tabs,P0,implemented-local-foundation,src/discovery/discovery-service.mjs#venues,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
