route,canonicalAtlasMapping,implementationStatus,notes
alert-center,A5-WORKSPACE-ALERT-CENTER,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
notification-center,A5-WORKSPACE-NOTIFICATION-CENTER,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
screener-lab,A5-WORKSPACE-SCREENER-LAB,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
portfolio-analytics,A5-WORKSPACE-PORTFOLIO-ANALYTICS,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
research-workspace,A5-WORKSPACE-RESEARCH-WORKSPACE,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
onboarding,A5-WORKSPACE-ONBOARDING,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
notification-schedules,A5-WORKSPACE-NOTIFICATION-SCHEDULES,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
formula-screener,A5-WORKSPACE-FORMULA-SCREENER,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
portfolio-attribution,A5-WORKSPACE-PORTFOLIO-ATTRIBUTION,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
import-center,A5-WORKSPACE-IMPORT-CENTER,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
research-history,A5-WORKSPACE-RESEARCH-HISTORY,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
migration-center,A5-OPERATIONS-MIGRATION-CENTER,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
theme-lab,A5-PLATFORM-THEME-LAB,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
identity-access,A5-CONTROL-IDENTITY-ACCESS,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
data-mesh,A5-CONTROL-DATA-MESH,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
instrument-master,A5-CONTROL-INSTRUMENT-MASTER,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
timeseries-lab,A5-DATA-PLANE-TIMESERIES-LAB,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
stream-operations,A5-DATA-PLANE-STREAM-OPERATIONS,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
observability,A5-OPERATIONS-OBSERVABILITY,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
security-evidence,A5-EVIDENCE-SECURITY-EVIDENCE,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
category-detail,A5-DETAIL-CATEGORY-DETAIL,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
venue-detail,A5-DETAIL-VENUE-DETAIL,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
research-article,A5-DETAIL-RESEARCH-ARTICLE,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
