feature_id,domain,feature,status,evidence,truth_boundary,test_evidence
W4-ST-016,Streaming,Entitlement-scoped subscriptions,implemented,identity authorization per route,Local role fixtures,contract
W4-ST-017,Streaming,Backpressure foundation,partial,bounded frames and connection counters,No distributed flow control,contract truth boundary
W4-ST-018,Streaming,Distributed partitioned broker,deferred,packages/contracts/timeseries-streaming.contract.json,Not configured,release safety
W4-OB-001,Observability,HTTP request counters,implemented,ObservabilityService,In-process bounded records,server metrics
W4-OB-002,Observability,Status group metrics,implemented,ObservabilityService.metrics,In-process only,server metrics
W4-OB-003,Observability,5xx error rate,implemented,ObservabilityService.metrics,Candidate local signal,server overview
W4-OB-004,Observability,p50 p95 p99 latency,implemented,ObservabilityService.metrics,No histogram backend,wave4-runtime p95
W4-OB-005,Observability,Correlation-aware traces,implemented,ObservabilityService.startRequest,Local server spans only,server traces
W4-OB-006,Observability,Structured privacy-safe logs,implemented,ObservabilityService.log,No raw secrets or auth material,server logs
W4-OB-007,Observability,Provider scorecard,implemented,ProviderRuntime.registry integration,Fixture provider metrics,frontend observability
W4-OB-008,Observability,Stream metrics,implemented,StreamGateway.stats,Single-process counters,server metrics
W4-OB-009,Observability,Time-series inventory metric,implemented,TimeSeriesStore.summary integration,Local store only,server overview
W4-OB-010,Observability,Dependency health map,implemented,ObservabilityService.overview,Local declared dependencies,server overview
W4-OB-011,Observability,API availability SLO candidate,implemented,ObservabilityService.overview,"Candidate only, not production commitment",server SLO coverage
W4-OB-012,Observability,API p95 SLO candidate,implemented,ObservabilityService.overview,Candidate only,server SLO coverage
W4-OB-013,Observability,Stream gap-free SLO candidate,implemented,ObservabilityService.overview,Candidate only,server SLO coverage
W4-OB-014,Observability,Audit integrity SLO candidate,implemented,AuditLedger.verify integration,Candidate only,server overview
W4-OB-015,Observability,External telemetry export,deferred,packages/contracts/observability.contract.json,No collector configured,contract test
W4-OB-016,Observability,Production alert routing,deferred,packages/contracts/observability.contract.json,No pager/alert manager,contract
W4-FE-001,Frontend,Time Series Laboratory route,implemented,apps/web/public/assets/app.js,Local fixture evidence,browser render
W4-FE-002,Frontend,Instrument interval point controls,implemented,renderTimeSeriesLab,1h 4h 1d and bounded limits,browser render
W4-FE-003,Frontend,Normalized chart rendering,implemented,QellyChartShell + API,Rendering foundation; advanced financial charting later,browser render
W4-FE-004,Frontend,OHLCV data grid,implemented,QellyDataGrid,Client-rendered local result set,browser render
W4-FE-005,Frontend,Series evidence panel,implemented,renderTimeSeriesLab,Local truth boundary shown,browser render
W4-FE-006,Frontend,Stream Operations route,implemented,renderStreamOperations,Local SSE only,browser render
W4-FE-007,Frontend,Live stream tape,implemented,EventSource client,Finite local frames,browser render
W4-FE-008,Frontend,Pause resume stream control,implemented,renderStreamOperations,Client control only,browser render
W4-FE-009,Frontend,Replay grid,implemented,renderStreamOperations,Bounded journal,browser render
W4-FE-010,Frontend,Observability Center route,implemented,renderObservability,Local telemetry only,browser render
W4-FE-011,Frontend,Dependency and SLO panels,implemented,renderObservability,Candidate SLOs,browser render
W4-FE-012,Frontend,Provider scorecard,implemented,renderObservability,Fixture metrics,browser render
W4-FE-013,Frontend,Trace and log tables,implemented,renderObservability,Bounded local records,browser render
W4-FE-014,Frontend,Responsive Wave 4 routes,implemented,app.css Part 16 media rules,Desktop and 390x844 evidence,browser render
W4-FE-015,Frontend,Reduced motion compatibility,implemented,existing Design OS controls,Existing Wave 1 foundation,design-system tests
W4-SEC-001,Security,timeseries read authorization,implemented,identity fixtures and server require,Local roles,server coverage
W4-SEC-002,Security,stream read authorization,implemented,identity fixtures and server require,Local roles,server coverage
W4-SEC-003,Security,observability read authorization,implemented,identity fixtures and server require,Local roles,server coverage
W4-SEC-004,Security,timeseries write step-up,implemented,authorization-engine high assurance,Simulated local step-up,server append coverage
W4-SEC-005,Security,No live trading or dangerous routes,implemented,health safety and release-check,Live financial actions disabled,release-check
