route,canonicalAtlasMapping,implementationStatus,notes
formula-screener,A4-WORKSPACE-FORMULA-SCREENER,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
portfolio-attribution,A4-WORKSPACE-PORTFOLIO-ATTRIBUTION,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
import-center,A4-WORKSPACE-IMPORT-CENTER,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
research-history,A4-WORKSPACE-RESEARCH-HISTORY,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
migration-center,A4-OPERATIONS-MIGRATION-CENTER,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
theme-lab,A4-PLATFORM-THEME-LAB,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
identity-access,A4-CONTROL-IDENTITY-ACCESS,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
data-mesh,A4-CONTROL-DATA-MESH,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
instrument-master,A4-CONTROL-INSTRUMENT-MASTER,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
timeseries-lab,A4-DATA-PLANE-TIMESERIES-LAB,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
stream-operations,A4-DATA-PLANE-STREAM-OPERATIONS,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
observability,A4-OPERATIONS-OBSERVABILITY,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
security-evidence,A4-EVIDENCE-SECURITY-EVIDENCE,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
category-detail,A4-DETAIL-CATEGORY-DETAIL,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
venue-detail,A4-DETAIL-VENUE-DETAIL,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
research-article,A4-DETAIL-RESEARCH-ARTICLE,implemented-local,Real route family; 400/10000 atlases remain taxonomy only
