id,area,capability,status,evidence_or_boundary
A5-040,Frontend,Passkey Center,implemented-local,Responsive WebAuthn management screen
A5-041,Frontend,Account Recovery Controls,implemented-local,Recovery consumption/regeneration screen
A5-042,Frontend,Delivery Operations,implemented-local,Provider/storage/job inspection screen
A5-043,Frontend,Secure Import Vault,implemented-local,Existing A2 import UI retained
A5-044,Frontend,Six operating personas,implemented-local,Inherited Qelly persona system
A5-045,Frontend,Locked brand gradient,implemented-local,Design token checksum and source
A5-046,Operations and Documentation,OpenAPI 3.1 inventory,implemented-local,161 path contracts
A5-047,Operations and Documentation,Route inventory,implemented-local,55 routes
A5-048,Operations and Documentation,API inventory,implemented-local,161 contracts
A5-049,Operations and Documentation,Contract inventory,implemented-local,15 machine-readable contracts
A5-050,Operations and Documentation,Schema inventory,implemented-local,56 JSON schemas
A5-051,Operations and Documentation,Docker Compose topology,implemented-local,"PostgreSQL, Redis, MinIO, migration, API, worker"
A5-052,Production Deferred,Production KMS integration,partial-contract,Envelope contract exists; no cloud KMS credentials
A5-053,Production Deferred,Live PostgreSQL execution,blocked-by-service,No PostgreSQL service in build environment
A5-054,Production Deferred,Live Redis execution,blocked-by-service,No Redis service in build environment
A5-055,Production Deferred,Live MinIO/S3 execution,blocked-by-service,Adapter tested without live service
A5-056,Production Deferred,External email delivery,blocked-by-credentials,Blocked by endpoint and credentials
A5-057,Production Deferred,External webhook transmission,blocked-by-credentials,Blocked by endpoint and signing-secret deployment
A5-058,Production Deferred,Full malware scanning provider,partial-contract,Only foundation signature scanner
A5-059,Production Deferred,Physical authenticator browser E2E,partial-contract,Synthetic ES256 ceremony tested; no hardware authenticator in CI
A5-060,Production Deferred,Cloud staging deployment,blocked-by-credentials,No cloud connector/credentials
A5-061,Production Deferred,Independent penetration test,partial-contract,Not performed
A5-062,Financial Safety,Live trading,disabled-for-safety,No route or enabling flag; explicitly false
A5-063,Financial Safety,Custody,disabled-for-safety,No route or enabling flag; explicitly false
A5-064,Financial Safety,Asset transfers,disabled-for-safety,No route or enabling flag; explicitly false
A5-065,Financial Safety,Withdrawals,disabled-for-safety,No route or enabling flag; explicitly false
A5-066,Financial Safety,Private keys,disabled-for-safety,No route or enabling flag; explicitly false
A5-067,Financial Safety,Recovery phrases,disabled-for-safety,No route or enabling flag; explicitly false
A5-068,Identity and Security,Non-enumerating account-recovery request,implemented-local,AccountRecoveryService and public recovery API
A5-069,Identity and Security,Expiring single-use recovery challenge,implemented-local,"Hashed challenge, expiry, attempt limit and consume transaction"
A5-070,Identity and Security,Password reset with all-session revocation,implemented-local,Repository transaction and audit evidence
A5-071,Identity and Security,Recovery replay and attempt-limit protection,implemented-local,Focused A4 tests
A5-072,Network Security,Outbound HTTPS-only delivery policy,implemented-local,OutboundNetworkPolicy
A5-073,Network Security,Loopback/private/link-local/metadata destination blocking,implemented-local,DNS/IP checks and SSRF tests
A5-074,Network Security,Explicit origin allowlist contract,implemented-local,QELLY_OUTBOUND_ALLOWED_ORIGINS
A5-075,Secure Imports,Quarantine-before-release local object flow,implemented-local,"Quarantine directory, scan, atomic release"
A5-076,Secure Imports,Known malware-test signature rejection,implemented-local,Scanner contract and tests
A5-077,Operations,Consolidated platform readiness API,implemented-local,/api/v1/platform/readiness
A5-078,Frontend,Public Account Recovery screen,implemented-local,auth-recovery route
A5-079,Frontend,Platform Readiness operations screen,implemented-local,platform-readiness route
A5-080,Accessibility,All 57 routes desktop/mobile render coverage,implemented-local,"114 Chromium renders, zero console errors"
A5-081,Accessibility,Focused semantic and responsive checks,implemented-local,30/30 automated checks
A5-082,Production Deferred,Full external malware scanning engine,partial-contract,Foundation scanner only
A5-083,Production Deferred,Live cloud PostgreSQL/Redis/MinIO execution,blocked-by-credentials,Adapters and topology present; services unavailable in build workspace
A5-084,Production Deferred,Cloud KMS/HSM encryption provider,partial-contract,Local AES-GCM protector only
A5-085,Production Deferred,External SMTP/webhook sandbox verification,blocked-by-credentials,Adapters present; no credentials/endpoints
A5-086,Financial Safety,Live trading and custody,disabled-for-safety,"No execution, custody, transfer or withdrawal routes"
A5-087,Secret Protection,Versioned AES-256-GCM keyring envelopes,implemented-local,VersionedKeyringSecretProtector qelly:v2 envelope
A5-088,Secret Protection,Legacy qelly:v1 envelope read compatibility,implemented-local,Backward-compatible decrypt path
A5-089,Secret Protection,Governed MFA secret rewrap,implemented-local,SecretRotationService + audit event
A5-090,Secret Protection,Browser key material exposure,disabled-for-safety,Keyring is server environment only
A5-091,Secret Protection,Cloud KMS/HSM wrapping provider,partial-contract,Staging manifest requires KMS; no cloud credentials available
A5-092,Secure Imports,Manual quarantine intake,implemented-local,"Quarantine API, repository status and frontend"
A5-093,Secure Imports,Explicit rescan and atomic release,implemented-local,LocalObjectStorage rescan + audited route
A5-094,Secure Imports,Explicit discard of quarantined objects,implemented-local,Delete route and repository update
A5-095,Secure Imports,ClamAV INSTREAM adapter,partial-contract,TCP adapter implemented; external daemon not executed
A5-096,Secure Imports,S3 quarantine workflow,partial-contract,SigV4 adapter implemented; external S3 not executed
A5-097,Platform Assurance,Idempotency concurrency exercise,implemented-local,Concurrent enqueue drill creates one job
A5-098,Platform Assurance,Checksum backup and restore drill,implemented-local,"SQLite copy, SHA-256 and restored health"
A5-099,Platform Assurance,Signed webhook delivery sandbox,implemented-local,HMAC-SHA256 verification without transmission
A5-100,Platform Assurance,Staging deployment manifest and compose,implemented-contract,Two API/worker replicas and external dependencies declared
A5-101,Platform Assurance,External staging deployment evidence,missing,Cloud resources unavailable in this workspace
