feature_id,area,capability,status,evidence,truth_boundary,production_gate
P21-028,Guided onboarding,Wallet connection onboarding,production-deferred,packages/contracts/onboarding-automation-attribution.contract.json,Dangerous or credential-bearing onboarding is intentionally absent.,"Regulated integrations, secure credential exchange, legal review and production authentication"
P21-029,Notification automation,Schedule catalog,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-030,Notification automation,Schedule listing,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-031,Notification automation,Schedule creation,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-032,Notification automation,Schedule update,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-033,Notification automation,Schedule deletion,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-034,Notification automation,Daily cadence,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-035,Notification automation,Weekly cadence,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-036,Notification automation,Monthly cadence,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-037,Notification automation,Timezone recording,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-038,Notification automation,Hour and minute validation,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-039,Notification automation,Weekday recording,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-040,Notification automation,Enabled state,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-041,Notification automation,Next-run timestamp,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-042,Notification automation,Last-run timestamp,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-043,Notification automation,Manual due evaluation,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-044,Notification automation,Run history,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-045,Notification automation,In-app notification generation,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-046,Notification automation,Schedule audit events,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-047,Notification automation,Schedule idempotency,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-048,Notification automation,Replay-safe notification generation,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-049,Notification automation,Responsive schedule route,implemented-local-foundation,src/automation/notification-schedule-store.mjs; src/workspace/workspace-operations-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/notification-schedules.mjs,Manual deterministic local evaluation only; no autonomous background execution or external delivery.,"Production job runner, distributed locks, retries, dead-letter queues and notification providers"
P21-050,Notification automation,Quiet hours,partial-local-contract,src/automation/notification-schedule-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Fields and truth boundaries exist, but production timing semantics are not executed.","Distributed scheduler, durable queues and provider delivery receipts"
P21-051,Notification automation,Holiday calendars,partial-local-contract,src/automation/notification-schedule-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Fields and truth boundaries exist, but production timing semantics are not executed.","Distributed scheduler, durable queues and provider delivery receipts"
P21-052,Notification automation,User-local timezone execution,partial-local-contract,src/automation/notification-schedule-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Fields and truth boundaries exist, but production timing semantics are not executed.","Distributed scheduler, durable queues and provider delivery receipts"
P21-053,Notification automation,Digest content assembly,partial-local-contract,src/automation/notification-schedule-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Fields and truth boundaries exist, but production timing semantics are not executed.","Distributed scheduler, durable queues and provider delivery receipts"
P21-054,Notification automation,Failure retry policy,partial-local-contract,src/automation/notification-schedule-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Fields and truth boundaries exist, but production timing semantics are not executed.","Distributed scheduler, durable queues and provider delivery receipts"
P21-055,Notification automation,Delivery preference inheritance,partial-local-contract,src/automation/notification-schedule-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Fields and truth boundaries exist, but production timing semantics are not executed.","Distributed scheduler, durable queues and provider delivery receipts"
P21-056,Notification automation,Schedule pause windows,partial-local-contract,src/automation/notification-schedule-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Fields and truth boundaries exist, but production timing semantics are not executed.","Distributed scheduler, durable queues and provider delivery receipts"
P21-057,Notification automation,Email delivery,production-deferred,packages/contracts/onboarding-automation-attribution.contract.json; .env.example,External notification channels and unattended execution remain disabled.,"Verified providers, secrets manager, opt-in consent, abuse controls and operations"
P21-058,Notification automation,SMS delivery,production-deferred,packages/contracts/onboarding-automation-attribution.contract.json; .env.example,External notification channels and unattended execution remain disabled.,"Verified providers, secrets manager, opt-in consent, abuse controls and operations"
P21-059,Notification automation,Mobile push delivery,production-deferred,packages/contracts/onboarding-automation-attribution.contract.json; .env.example,External notification channels and unattended execution remain disabled.,"Verified providers, secrets manager, opt-in consent, abuse controls and operations"
P21-060,Notification automation,Webhook delivery,production-deferred,packages/contracts/onboarding-automation-attribution.contract.json; .env.example,External notification channels and unattended execution remain disabled.,"Verified providers, secrets manager, opt-in consent, abuse controls and operations"
P21-061,Notification automation,Autonomous background workers,production-deferred,packages/contracts/onboarding-automation-attribution.contract.json; .env.example,External notification channels and unattended execution remain disabled.,"Verified providers, secrets manager, opt-in consent, abuse controls and operations"
P21-062,Formula screeners,Safe formula tokenizer,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-063,Formula screeners,Recursive-descent parser,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-064,Formula screeners,Arithmetic addition,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-065,Formula screeners,Arithmetic subtraction,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-066,Formula screeners,Arithmetic multiplication,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-067,Formula screeners,Arithmetic division,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-068,Formula screeners,Parentheses,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-069,Formula screeners,Unary negative,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-070,Formula screeners,abs function,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-071,Formula screeners,min function,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-072,Formula screeners,max function,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-073,Formula screeners,coalesce function,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-074,Formula screeners,pct function,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-075,Formula screeners,Allowed-field whitelist,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-076,Formula screeners,Formula-name validation,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-077,Formula screeners,Formula count limit,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-078,Formula screeners,Expression length limit,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-079,Formula screeners,Unavailable-value propagation,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-080,Formula screeners,Division-by-zero protection,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-081,Formula screeners,Formula result filtering,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-082,Formula screeners,Formula result sorting,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-083,Formula screeners,Formula catalog API,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-084,Formula screeners,Formula screener API,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-085,Formula screeners,Responsive formula route,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-086,Formula screeners,Dynamic-code execution disabled,implemented-local-foundation,src/workspace/formula-engine.mjs; src/workspace/screener-service.mjs; packages/schemas/formula-screener-request.schema.json; apps/web/public/assets/routes/formula-screener.mjs,"Bounded arithmetic over deterministic fixture fields; no arbitrary code, licensed factors or distributed execution.","Production query planner, licensed datasets, capacity limits and independent sandbox review"
P21-087,Formula screeners,Saved formula definitions,partial-local-contract,src/workspace/screener-service.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Core expression evaluation exists; advanced analytics and scale are not implemented.,"Distributed compute, production data warehouse and query governance"
P21-088,Formula screeners,Formula version history,partial-local-contract,src/workspace/screener-service.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Core expression evaluation exists; advanced analytics and scale are not implemented.,"Distributed compute, production data warehouse and query governance"
P21-089,Formula screeners,Cross-formula dependencies,partial-local-contract,src/workspace/screener-service.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Core expression evaluation exists; advanced analytics and scale are not implemented.,"Distributed compute, production data warehouse and query governance"
P21-090,Formula screeners,Sector-relative functions,partial-local-contract,src/workspace/screener-service.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Core expression evaluation exists; advanced analytics and scale are not implemented.,"Distributed compute, production data warehouse and query governance"
P21-091,Formula screeners,Rolling-window functions,partial-local-contract,src/workspace/screener-service.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Core expression evaluation exists; advanced analytics and scale are not implemented.,"Distributed compute, production data warehouse and query governance"
P21-092,Formula screeners,Percentile functions,partial-local-contract,src/workspace/screener-service.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Core expression evaluation exists; advanced analytics and scale are not implemented.,"Distributed compute, production data warehouse and query governance"
P21-093,Formula screeners,Server-side distributed execution,partial-local-contract,src/workspace/screener-service.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Core expression evaluation exists; advanced analytics and scale are not implemented.,"Distributed compute, production data warehouse and query governance"
P21-094,Formula screeners,Large-universe pagination,partial-local-contract,src/workspace/screener-service.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Core expression evaluation exists; advanced analytics and scale are not implemented.,"Distributed compute, production data warehouse and query governance"
P21-095,Formula screeners,User-supplied JavaScript,production-deferred,src/workspace/formula-engine.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Arbitrary code and financial execution are explicitly prohibited.,"Isolated compute platform, security review and regulated execution controls"
P21-096,Formula screeners,User-supplied SQL,production-deferred,src/workspace/formula-engine.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Arbitrary code and financial execution are explicitly prohibited.,"Isolated compute platform, security review and regulated execution controls"
P21-097,Formula screeners,Python execution,production-deferred,src/workspace/formula-engine.mjs; packages/contracts/onboarding-automation-attribution.contract.json,Arbitrary code and financial execution are explicitly prohibited.,"Isolated compute platform, security review and regulated execution controls"
