requirement_id,domain,capability,status,evidence,truth_boundary,next_dependency
W6-020,Hardened foundation,Central route manifest,implemented-local-foundation,src/server/route-manifest.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-021,Hardened foundation,Frontend route registry extraction,implemented-local-foundation,apps/web/public/assets/route-registry.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-022,Hardened foundation,Modular asset-intelligence renderer,implemented-local-foundation,apps/web/public/assets/routes/asset-intelligence.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-023,Asset intelligence,Asset intelligence workspace route,implemented-local-foundation,/#/asset-intelligence,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-024,Asset intelligence,Canonical asset selector,implemented-local-foundation,apps/web/public/assets/routes/asset-intelligence.mjs,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-025,Asset intelligence,Asset profile API,implemented-local-foundation,GET /api/v1/asset-intelligence/:id/overview,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-026,Asset intelligence,Cross-asset profile normalization,implemented-local-foundation,src/asset-intelligence/asset-intelligence-service.mjs,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-027,Asset intelligence,Quote evidence cards,implemented-local-foundation,asset overview response,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-028,Asset intelligence,Coverage flags,implemented-local-foundation,asset overview response,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-029,Asset intelligence,Fundamentals API,implemented-local-foundation,GET /api/v1/asset-intelligence/:id/fundamentals,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-030,Asset intelligence,Asset-class-aware metrics,implemented-local-foundation,asset-intelligence-service.mjs,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-031,Asset intelligence,Events API,implemented-local-foundation,GET /api/v1/asset-intelligence/:id/events,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-032,Asset intelligence,Filing reference API,implemented-local-foundation,GET /api/v1/asset-intelligence/:id/filings,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-033,Asset intelligence,Peer set API,implemented-local-foundation,GET /api/v1/asset-intelligence/:id/peers,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-034,Asset intelligence,Study catalog API,implemented-local-foundation,GET /api/v1/asset-intelligence/studies,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-035,Asset intelligence,Simple moving average,implemented-local-foundation,technicals?study=sma,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-036,Asset intelligence,Exponential moving average,implemented-local-foundation,technicals?study=ema,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-037,Asset intelligence,Relative strength index,implemented-local-foundation,technicals?study=rsi,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-038,Asset intelligence,Technical-study parameter bounds,implemented-local-foundation,asset-intelligence-service.mjs,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-039,Asset intelligence,Technical chart visualization,implemented-local-foundation,asset-intelligence route,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-040,Asset intelligence,Asset comparison API,implemented-local-foundation,POST /api/v1/asset-intelligence/compare,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-041,Asset intelligence,Comparison de-duplication,implemented-local-foundation,asset-intelligence-service.mjs,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-042,Asset intelligence,Comparison modal UI,implemented-local-foundation,asset-intelligence.mjs,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-043,Asset intelligence,Fundamental metric cards,implemented-local-foundation,asset-intelligence.mjs,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-044,Asset intelligence,Events and filings panels,implemented-local-foundation,asset-intelligence.mjs,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-045,Asset intelligence,Peer data grid,implemented-local-foundation,asset-intelligence.mjs,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-046,Asset intelligence,Wave 6 machine-readable contract,implemented-local-foundation,packages/contracts/hardened-foundation-wave6.contract.json,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-047,Asset intelligence,Asset overview schema,implemented-local-foundation,packages/schemas/asset-intelligence-overview.schema.json,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-048,Asset intelligence,Technical-study schema,implemented-local-foundation,packages/schemas/asset-technical-study.schema.json,Deterministic fixtures and local calculations; no live or licensed claims,Licensed sources and richer analytics
W6-049,Wave 6 expansion,Complete issuer financial statements,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Licensed fundamentals provider and statement model
W6-050,Wave 6 expansion,Historical financial periods,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Normalized statement history
W6-051,Wave 6 expansion,Earnings history and estimates,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Earnings and estimates provider
W6-052,Wave 6 expansion,Analyst revisions and consensus,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Licensed estimates provider
W6-053,Wave 6 expansion,Dividend and split history,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Corporate-actions pipeline
W6-054,Wave 6 expansion,Ownership and insider activity,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Regulatory and ownership providers
W6-055,Wave 6 expansion,ETF holdings and flows,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,ETF datasets
W6-056,Wave 6 expansion,Bond cash flows and duration,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Fixed-income reference and pricing data
W6-057,Wave 6 expansion,Yield curves and spreads,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Rates curves service
W6-058,Wave 6 expansion,Futures curves and roll analytics,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Futures chain provider
W6-059,Wave 6 expansion,Commodity inventory and seasonality,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Commodity datasets
W6-060,Wave 6 expansion,Tokenomics and vesting,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Token reference provider
W6-061,Wave 6 expansion,On-chain activity metrics,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,On-chain indexer
W6-062,Wave 6 expansion,Smart-contract security evidence,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Audit and security provider
W6-063,Wave 6 expansion,Governance proposals and voting,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Governance indexer
W6-064,Wave 6 expansion,MACD calculation,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Indicator engine extension
W6-065,Wave 6 expansion,Bollinger Bands calculation,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Indicator engine extension
W6-066,Wave 6 expansion,Candlestick charting,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Advanced chart renderer
W6-067,Wave 6 expansion,Multiple chart panes,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Pane and layout engine
W6-068,Wave 6 expansion,Drawing tools and annotations,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Drawing persistence model
W6-069,Wave 6 expansion,Corporate-action chart markers,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Corporate-actions pipeline
W6-070,Wave 6 expansion,Saved chart layouts,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Chart layout persistence APIs
W6-071,Wave 6 expansion,Technical indicator templates,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Indicator template persistence
W6-072,Wave 6 expansion,Asset-level research notes,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Research document service
W6-073,Wave 6 expansion,Filing document viewer,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Regulatory document ingestion and storage
W6-074,Wave 6 expansion,Full frontend modularization,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Extract remaining route renderers and components
W6-075,Wave 6 expansion,Typed backend routers and controllers,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Router controller repository architecture
W6-076,Wave 6 expansion,Full API request and response validation,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Production validator and broad route mapping
W6-077,Wave 6 expansion,Distributed concurrency control,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,Database transactions or distributed locks
W6-078,Wave 6 expansion,Externally anchored audit evidence,partial-local-contract,packages/contracts/hardened-foundation-wave6.contract.json,Not claimed complete,WORM store or signed external anchor
W6-079,Production gates,Production authentication,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,OIDC WebAuthn MFA provider
W6-080,Production gates,Licensed market and fundamentals feeds,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,Commercial agreements and adapters
W6-081,Production gates,Live regulatory filing ingestion,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,Regulatory connectors
W6-082,Production gates,Production relational database,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,PostgreSQL migrations and repositories
W6-083,Production gates,Production time-series database,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,TimescaleDB or ClickHouse
W6-084,Production gates,Distributed stream broker,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,Kafka Redpanda or NATS
W6-085,Production gates,Production search index,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,OpenSearch or Elasticsearch
W6-086,Production gates,Production secrets and KMS,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,Vault or cloud KMS
W6-087,Production gates,Live broker and exchange execution,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,Regulated execution integrations
W6-088,Production gates,Transfers and withdrawals,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,Custody and approval architecture
W6-089,Production gates,Private-key custody,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,Dedicated regulated custody boundary
W6-090,Production gates,Multi-region deployment,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,Infrastructure as code backups and DR
W6-091,Production gates,External observability,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,Production telemetry pipeline
W6-092,Production gates,Independent accessibility certification,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,Assistive-technology and WCAG audit
W6-093,Production gates,Penetration testing and compliance evidence,production-deferred,packages/contracts/hardened-foundation-wave6.contract.json,Explicitly disabled or absent,External security assessment
