event_worker_id,type,name,source_file,trigger,payload_validation,retry,dead_letter,idempotency,ordering,observability,status,risk,source_commit
EW-011,github-workflow,container,.github/workflows/container.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-012,github-workflow,font-comparison,.github/workflows/font-comparison.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-013,github-workflow,logo-brand-review,.github/workflows/logo-brand-review.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-014,github-workflow,logo-brand-visual-correction-review,.github/workflows/logo-brand-visual-correction-review.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-015,github-workflow,pages-preview,.github/workflows/pages-preview.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-016,github-workflow,production-foundation-services,.github/workflows/production-foundation-services.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-017,github-workflow,prompt2a-wave0-audit,.github/workflows/prompt2a-wave0-audit.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-018,github-workflow,release,.github/workflows/release.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-019,github-workflow,theme-intelligence-review,.github/workflows/theme-intelligence-review.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-020,github-workflow,theme-intelligence-visual-correction-review,.github/workflows/theme-intelligence-visual-correction-review.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-021,github-workflow,typography-governance,.github/workflows/typography-governance.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-022,github-workflow,ui-review,.github/workflows/ui-review.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
