screen_id,route,name,domain,runtime_screen,reference_design_frames,status,source_file,responsive_status,accessibility_status,data_state,backend_dependency,risk,source_commit,last_verified
SCREEN-019,#/asset-rankings,Asset Rankings,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),STATIC_DEMO,apps/web/public/assets/routes/asset-rankings.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,DEMO,not-proven-on-public-pages,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-020,#/search,Universal Search,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-021,#/categories,Categories,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-022,#/venues,Venues,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-023,#/dex-discovery,DEX Discovery,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-024,#/global-charts,Global Charts,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-025,#/converter,Converter,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-026,#/news-research,News & Research,research,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,SIMULATED,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-027,#/trust-center,Trust Center,evidence,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-028,#/asset-intelligence,Asset Intelligence,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/asset-intelligence.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-029,#/advanced-chart,Advanced Chart Studio,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/advanced-chart.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,SIMULATED,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-030,#/fundamentals-estimates,Fundamentals & Estimates,research,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/fundamentals-estimates.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-031,#/filing-workspace,Filing Workspace,research,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/filing-workspace.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-032,#/event-calendar,Event Calendar,research,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/event-calendar.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-033,#/comparison-lab,Comparison Lab,research,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/comparison-lab.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-034,#/market,Market Overview,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),STATIC_DEMO,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,DEMO,not-proven-on-public-pages,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-035,#/rankings,Legacy Rankings,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,SIMULATED,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-036,#/asset,Asset Dossier,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),STATIC_DEMO,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,DEMO,not-proven-on-public-pages,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-037,#/watchlist,Watchlists,workspaces,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-038,#/alert-center,Alert Rules,workspaces,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/alert-center.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-039,#/notification-center,Notifications,workspaces,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/notification-center.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-040,#/screener-lab,Screener Lab,workspaces,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/screener-lab.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-041,#/portfolio-analytics,Portfolio Analytics,workspaces,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/portfolio-analytics.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-042,#/research-workspace,Research Workspace,research,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/research-workspace.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-043,#/onboarding,Guided Onboarding,workspaces,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/onboarding.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-044,#/notification-schedules,Notification Schedules,workspaces,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/notification-schedules.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-045,#/formula-screener,Formula Screener,workspaces,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/formula-screener.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-046,#/portfolio-attribution,Portfolio Attribution,workspaces,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/portfolio-attribution.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-047,#/import-center,Import Center,workspaces,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/import-center.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-048,#/research-history,Research History,research,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/research-history.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-049,#/migration-center,Migration Center,operations,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/migration-center.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-050,#/theme-lab,Theme Laboratory,experience,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-051,#/identity-access,Identity & Access,operations,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-052,#/data-mesh,Provider Runtime,data,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-053,#/instrument-master,Instrument Master,data,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-054,#/timeseries-lab,Time Series Lab,data,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-055,#/stream-operations,Stream Operations,data,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-056,#/observability,Observability Center,operations,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-057,#/decision-provenance,Decision Provenance,evidence,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/decision-provenance.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-058,#/security-evidence,Security Evidence,evidence,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-059,#/category-detail,Category Detail,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-060,#/venue-detail,Venue Detail,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-061,#/research-article,Research Article,research,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
