dependency_id,hostname,reference_count,purpose,source_examples,runtime_reachable,browser_exposed,credentials_required,license_terms,status,risk,recommended_action,last_verified,source_commit
EXT-011,email.acme.dev,1,test/local/generated reference,tests/deployment-hardening.test.mjs:30,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-012,"email.acme.dev,https",1,test/local/generated reference,tests/deployment-hardening.test.mjs:31,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-013,example.invalid,3,test/local/generated reference,apps/web/public/assets/routes/delivery-operations.mjs:4 | src/asset-intelligence/asset-intelligence-service.mjs:12 | src/asset-intelligence/asset-intelligence-service.mjs:13,no/should not be,yes,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-014,github.com,1,external runtime/documentation dependency,docs/18_GITHUB_REPOSITORY_AND_DEPLOYMENT.md:5,possible,no/indirect,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-015,hemangsah.github.io,6,external runtime/documentation dependency,design/handoff/QELLY_POST_MERGE_STATE.md:45 | project-state/POST_MERGE_MAIN_VALIDATION.json:37 | project-state/PROMPT2_STARTING_STATE.md:14 | project-state/QELLY_PROJECT_STATE.md:23 | project-state/QELLY_VALIDATION_HISTORY.md:54,possible,no/indirect,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-016,json-schema.org,83,external runtime/documentation dependency,apps/web/public/assets/tokens.json:2 | packages/contracts/advanced-asset-intelligence.contract.json:2 | packages/contracts/hardened-foundation-wave6.contract.json:2 | packages/contracts/onboarding-automation-attribution.contract.json:2 | packages/contracts/workspace-portfolio-research.contract.json:2,possible,yes,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-017,localhost,2,test/local/generated reference,tests/release-a3-passkeys-storage-delivery.test.mjs:31 | tests/release-a3-passkeys-storage-delivery.test.mjs:33,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-018,minio,2,test/local/generated reference,docker-compose.yml:45 | docker-compose.yml:73,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-019,openapi.vercel.sh,1,external runtime/documentation dependency,vercel.json:2,possible,no/indirect,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-020,preview.acme.dev,2,test/local/generated reference,tests/deployment-hardening.test.mjs:17 | tests/deployment-hardening.test.mjs:145,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-021,"preview.acme.dev');assert.equal(allowed.headers.get('access-control-allow-credentials'),'true",1,test/local/generated reference,tests/deployment-hardening.test.mjs:148,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-022,preview.test').pathname,1,test/local/generated reference,scripts/smoke-pages-preview.mjs:19,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-023,private.example,1,test/local/generated reference,tests/release-a4-recovery-quarantine-readiness.test.mjs:37,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-024,public.coindcx.com,2,external runtime/documentation dependency,src/live-markets/live-market-service.mjs:104 | src/markets/public-market-service.mjs:117,possible,no/indirect,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-025,public.example,2,test/local/generated reference,tests/release-a4-recovery-quarantine-readiness.test.mjs:36 | tests/release-a4-recovery-quarantine-readiness.test.mjs:39,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-026,qelly-pdf.test,2,test/local/generated reference,scripts/build-part22-design-pdf.py:141 | scripts/build-part22-design-pdf.py:142,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-027,qelly.example,11,test/local/generated reference,packages/openapi/qelly.openapi.json:3802 | packages/openapi/qelly.openapi.json:3880 | packages/openapi/qelly.openapi.json:3974 | packages/schemas/evidence-explain-move-input.schema.json:3 | packages/schemas/evidence-graph.schema.json:3,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-028,qelly.local,40,test/local/generated reference,packages/design-tokens/theme-profile.schema.json:3 | packages/schemas/access-decision.schema.json:3 | packages/schemas/asset-intelligence-overview.schema.json:3 | packages/schemas/asset-technical-study.schema.json:3 | packages/schemas/assurance-concurrency-input.schema.json:3,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-029,qelly.test,19,test/local/generated reference,scripts/accessibility-check.py:6 | scripts/browser-render.py:10 | scripts/capture-all-themes-v2.py:23 | scripts/capture-dark-themes-v2.py:23 | scripts/capture-part22-all-personas.py:10,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-030,unpkg.com,1,external runtime/documentation dependency,apps/web/public/assets/market/tradingview-live-chart.mjs:2,possible,yes,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-031,www.coinglass.com,1,external runtime/documentation dependency,scripts/ui-review-premium.mjs:29,possible,no/indirect,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-032,www.w3.org,15,external runtime/documentation dependency,apps/web/public/assets/brand/qelly-logo-compact.svg:1 | apps/web/public/assets/brand/qelly-logo-dark.svg:1 | apps/web/public/assets/brand/qelly-logo-high-contrast.svg:1 | apps/web/public/assets/brand/qelly-logo-light.svg:1 | apps/web/public/assets/brand/qelly-logo-monochrome-dark.svg:1,possible,yes,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-033,www.worldquant.com,1,external runtime/documentation dependency,scripts/ui-review-premium.mjs:31,possible,no/indirect,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
