"route","label","domain","frame_id","page","viewport","state","implementation_route_file","mapping_status"
"#/discovery-hub","Discovery Overview","markets","QF-0078","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/discovery-hub","Discovery Overview","markets","QF-0079","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/asset-rankings","Asset Rankings","markets","QF-0080","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/asset-rankings","Asset Rankings","markets","QF-0081","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/search","Universal Search","markets","QF-0082","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/search","Universal Search","markets","QF-0083","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/categories","Categories","markets","QF-0084","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/categories","Categories","markets","QF-0085","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/venues","Venues","markets","QF-0086","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/venues","Venues","markets","QF-0087","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/dex-discovery","DEX Discovery","markets","QF-0088","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/dex-discovery","DEX Discovery","markets","QF-0089","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/global-charts","Global Charts","markets","QF-0090","12 — Charts and heatmaps","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/global-charts","Global Charts","markets","QF-0091","12 — Charts and heatmaps","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/converter","Converter","markets","QF-0092","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/converter","Converter","markets","QF-0093","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/news-research","News & Research","research","QF-0094","20 — Research","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/news-research","News & Research","research","QF-0095","20 — Research","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/trust-center","Trust Center","evidence","QF-0096","23 — Trust and company","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/trust-center","Trust Center","evidence","QF-0097","23 — Trust and company","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/asset-intelligence","Asset Intelligence","markets","QF-0098","18 — Asset intelligence","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/asset-intelligence","Asset Intelligence","markets","QF-0099","18 — Asset intelligence","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/advanced-chart","Advanced Chart Studio","markets","QF-0100","12 — Charts and heatmaps","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/advanced-chart","Advanced Chart Studio","markets","QF-0101","12 — Charts and heatmaps","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/fundamentals-estimates","Fundamentals & Estimates","research","QF-0102","18 — Asset intelligence","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/fundamentals-estimates","Fundamentals & Estimates","research","QF-0103","18 — Asset intelligence","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/filing-workspace","Filing Workspace","research","QF-0104","20 — Research","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/filing-workspace","Filing Workspace","research","QF-0105","20 — Research","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/event-calendar","Event Calendar","research","QF-0106","20 — Research","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/event-calendar","Event Calendar","research","QF-0107","20 — Research","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/comparison-lab","Comparison Lab","research","QF-0108","18 — Asset intelligence","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/comparison-lab","Comparison Lab","research","QF-0109","18 — Asset intelligence","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/market","Market Overview","markets","QF-0110","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/market","Market Overview","markets","QF-0111","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/rankings","Legacy Rankings","markets","QF-0112","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/rankings","Legacy Rankings","markets","QF-0113","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/asset","Asset Dossier","markets","QF-0114","18 — Asset intelligence","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/asset","Asset Dossier","markets","QF-0115","18 — Asset intelligence","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/watchlist","Watchlists","workspaces","QF-0116","21 — Portfolio","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/watchlist","Watchlists","workspaces","QF-0117","21 — Portfolio","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/alert-center","Alert Rules","workspaces","QF-0118","21 — Portfolio","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/alert-center","Alert Rules","workspaces","QF-0119","21 — Portfolio","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/notification-center","Notifications","workspaces","QF-0120","21 — Portfolio","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/notification-center","Notifications","workspaces","QF-0121","21 — Portfolio","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/screener-lab","Screener Lab","workspaces","QF-0122","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/screener-lab","Screener Lab","workspaces","QF-0123","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/portfolio-analytics","Portfolio Analytics","workspaces","QF-0124","21 — Portfolio","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/portfolio-analytics","Portfolio Analytics","workspaces","QF-0125","21 — Portfolio","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/research-workspace","Research Workspace","research","QF-0126","20 — Research","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/research-workspace","Research Workspace","research","QF-0127","20 — Research","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/onboarding","Guided Onboarding","workspaces","QF-0128","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/onboarding","Guided Onboarding","workspaces","QF-0129","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/notification-schedules","Notification Schedules","workspaces","QF-0130","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/notification-schedules","Notification Schedules","workspaces","QF-0131","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/formula-screener","Formula Screener","workspaces","QF-0132","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/formula-screener","Formula Screener","workspaces","QF-0133","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/portfolio-attribution","Portfolio Attribution","workspaces","QF-0134","21 — Portfolio","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/portfolio-attribution","Portfolio Attribution","workspaces","QF-0135","21 — Portfolio","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/import-center","Import Center","workspaces","QF-0136","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/import-center","Import Center","workspaces","QF-0137","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/research-history","Research History","research","QF-0138","20 — Research","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/research-history","Research History","research","QF-0139","20 — Research","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/migration-center","Migration Center","operations","QF-0140","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/migration-center","Migration Center","operations","QF-0141","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/theme-lab","Theme Laboratory","experience","QF-0142","14 — Persona system","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/theme-lab","Theme Laboratory","experience","QF-0143","14 — Persona system","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/identity-access","Identity & Access","operations","QF-0144","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/identity-access","Identity & Access","operations","QF-0145","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/data-mesh","Provider Runtime","data","QF-0146","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/data-mesh","Provider Runtime","data","QF-0147","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/instrument-master","Instrument Master","data","QF-0148","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/instrument-master","Instrument Master","data","QF-0149","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/timeseries-lab","Time Series Lab","data","QF-0150","12 — Charts and heatmaps","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/timeseries-lab","Time Series Lab","data","QF-0151","12 — Charts and heatmaps","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/stream-operations","Stream Operations","data","QF-0152","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/stream-operations","Stream Operations","data","QF-0153","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/observability","Observability Center","operations","QF-0154","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/observability","Observability Center","operations","QF-0155","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/decision-provenance","Decision Provenance","evidence","QF-0156","13 — Provenance components","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/decision-provenance","Decision Provenance","evidence","QF-0157","13 — Provenance components","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/security-evidence","Security Evidence","evidence","QF-0158","23 — Trust and company","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/security-evidence","Security Evidence","evidence","QF-0159","23 — Trust and company","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/category-detail","Category Detail","markets","QF-0160","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/category-detail","Category Detail","markets","QF-0161","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/venue-detail","Venue Detail","markets","QF-0162","17 — Market discovery","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/venue-detail","Venue Detail","markets","QF-0163","17 — Market discovery","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/research-article","Research Article","research","QF-0164","20 — Research","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/research-article","Research Article","research","QF-0165","20 — Research","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
