feature_id,domain,capability,current_status,gap_type,user_value,risk,dependency,effort,release_scope,target_wave,blocker,recommended_action,source_commit,last_verified
beta.migration-rollback,Preserved Prompt 1 registry,Migration rollback and release dependency structure,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,MEDIUM,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,No operational migration introduced,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
beta.inventory,Preserved Prompt 1 registry,Baseline route API schema and contract inventories,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,MEDIUM,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,Counts are not connectivity proof,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
providers.market-data,Preserved Prompt 1 registry,Connected market-data providers,PLANNED,implementation-evidence-gap,HIGH,MEDIUM,FOUNDATION,M,POST_BETA,WAVE_2,Terms quotas authorization and redistribution require current verification,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
connections.read-only,Preserved Prompt 1 registry,Read-only wallet broker exchange connections,PLANNED,implementation-evidence-gap,HIGH,MEDIUM,FOUNDATION,M,POST_BETA,WAVE_2,Prompt 2 scope,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
paper-trading,Preserved Prompt 1 registry,Deterministic paper-trading engine,PLANNED,implementation-evidence-gap,HIGH,MEDIUM,FOUNDATION,M,POST_BETA,WAVE_2,Prompt 2 scope,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
marketplace,Preserved Prompt 1 registry,EA and strategy marketplace,PLANNED,implementation-evidence-gap,HIGH,MEDIUM,FOUNDATION,M,POST_BETA,WAVE_2,Prompt 2 scope,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
execution.real-money,Preserved Prompt 1 registry,Real-money trading,DEFERRED,disabled-high-risk,HIGH,MEDIUM,FOUNDATION,M,DEFERRED,WAVE_2,Requires separate explicit program,keep disabled,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
custody,Preserved Prompt 1 registry,Custody deposits and withdrawals,DEFERRED,disabled-high-risk,HIGH,MEDIUM,FOUNDATION,M,DEFERRED,WAVE_2,Excluded from public beta,keep disabled,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
secrets.wallet,Preserved Prompt 1 registry,Private-key and seed-phrase storage,DEFERRED,disabled-high-risk,HIGH,MEDIUM,FOUNDATION,M,DEFERRED,WAVE_2,Never request or store,keep disabled,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
deployment.github-pages,Preserved Prompt 1 registry,GitHub Pages static visual preview,IMPLEMENTED_CONNECTED,none/foundation,CRITICAL,MEDIUM,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,Public static/read-only preview; not connected full production,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-public-homepage,PUBLIC DISCOVERY,public homepage,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-market-overview,PUBLIC DISCOVERY,market overview,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-asset-rankings,PUBLIC DISCOVERY,asset rankings,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-gainers-losers,PUBLIC DISCOVERY,gainers/losers,PLANNED,implementation-evidence-gap,MEDIUM,HIGH,SECURITY,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-trending-assets,PUBLIC DISCOVERY,trending assets,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-new-listings,PUBLIC DISCOVERY,new listings,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,PROGRAM,POST_BETA,WAVE_6,implementation and end-to-end evidence,implement in WAVE_6 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-sectors,PUBLIC DISCOVERY,sectors,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-themes,PUBLIC DISCOVERY,themes,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,HIGH,MEDIUM,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_2,,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-categories,PUBLIC DISCOVERY,categories,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-exchange-rankings,PUBLIC DISCOVERY,exchange rankings,PLANNED,implementation-evidence-gap,MEDIUM,HIGH,SECURITY,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-broker-directory,PUBLIC DISCOVERY,broker directory,PLANNED,implementation-evidence-gap,MEDIUM,HIGH,SECURITY,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-provider-directory,PUBLIC DISCOVERY,provider directory,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-market-status,PUBLIC DISCOVERY,market status,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-global-sessions,PUBLIC DISCOVERY,global sessions,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-public-asset-pages,PUBLIC DISCOVERY,public asset pages,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-public-strategy-pages,PUBLIC DISCOVERY,public strategy pages,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,PROGRAM,POST_BETA,WAVE_5,implementation and end-to-end evidence,implement in WAVE_5 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-public-creator-pages,PUBLIC DISCOVERY,public creator pages,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,PROGRAM,POST_BETA,WAVE_6,implementation and end-to-end evidence,implement in WAVE_6 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-public-calculator-pages,PUBLIC DISCOVERY,public calculator pages,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_1,implementation and end-to-end evidence,implement in WAVE_1 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-public-research-pages,PUBLIC DISCOVERY,public research pages,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-public-news,PUBLIC DISCOVERY,public news,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,PROVIDER,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-public-education,PUBLIC DISCOVERY,public education,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-public-community,PUBLIC DISCOVERY,public community,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-seo,PUBLIC DISCOVERY,SEO,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-social-previews,PUBLIC DISCOVERY,social previews,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,PROGRAM,POST_BETA,WAVE_6,implementation and end-to-end evidence,implement in WAVE_6 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-share-links,PUBLIC DISCOVERY,share links,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D01-public-embeds,PUBLIC DISCOVERY,public embeds.,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-prices,ASSET INTELLIGENCE,prices,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,PROVIDER,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-returns,ASSET INTELLIGENCE,returns,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-market-capitalization,ASSET INTELLIGENCE,market capitalization,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-supply,ASSET INTELLIGENCE,supply,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-volume,ASSET INTELLIGENCE,volume,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-liquidity,ASSET INTELLIGENCE,liquidity,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-volatility,ASSET INTELLIGENCE,volatility,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_1,implementation and end-to-end evidence,implement in WAVE_1 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-fundamentals,ASSET INTELLIGENCE,fundamentals,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-valuation,ASSET INTELLIGENCE,valuation,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-financial-statements,ASSET INTELLIGENCE,financial statements,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-ratios,ASSET INTELLIGENCE,ratios,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-ownership,ASSET INTELLIGENCE,ownership,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-analyst-estimates,ASSET INTELLIGENCE,analyst estimates,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-corporate-actions,ASSET INTELLIGENCE,corporate actions,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-dividends,ASSET INTELLIGENCE,dividends,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-splits,ASSET INTELLIGENCE,splits,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-earnings,ASSET INTELLIGENCE,earnings,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-filings,ASSET INTELLIGENCE,filings,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,PROVIDER,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-events,ASSET INTELLIGENCE,events,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-peers,ASSET INTELLIGENCE,peers,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-factors,ASSET INTELLIGENCE,factors,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-sentiment,ASSET INTELLIGENCE,sentiment,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-news,ASSET INTELLIGENCE,news,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,PROVIDER,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-risk,ASSET INTELLIGENCE,risk,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D02-evidence-lineage,ASSET INTELLIGENCE,evidence lineage.,PROTOTYPE,implementation-evidence-gap,HIGH,MEDIUM,DATABASE,M,PUBLIC_BETA_MUST,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-candlestick,CHARTS AND TECHNICAL ANALYSIS,candlestick,PROTOTYPE,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,M,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-line,CHARTS AND TECHNICAL ANALYSIS,line,PROTOTYPE,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,M,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-area,CHARTS AND TECHNICAL ANALYSIS,area,PROTOTYPE,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,M,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-ohlc,CHARTS AND TECHNICAL ANALYSIS,OHLC,PROTOTYPE,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,M,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-heikin-ashi,CHARTS AND TECHNICAL ANALYSIS,Heikin Ashi,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-renko-where-supported,CHARTS AND TECHNICAL ANALYSIS,Renko where supported,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-point-and-figure-where-supported,CHARTS AND TECHNICAL ANALYSIS,point-and-figure where supported,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-overlays,CHARTS AND TECHNICAL ANALYSIS,overlays,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-drawings,CHARTS AND TECHNICAL ANALYSIS,drawings,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-annotations,CHARTS AND TECHNICAL ANALYSIS,annotations,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
F-D03-multi-chart-layouts,CHARTS AND TECHNICAL ANALYSIS,multi-chart layouts,PLANNED,implementation-evidence-gap,MEDIUM,MEDIUM,DATABASE,L,POST_BETA,WAVE_2,implementation and end-to-end evidence,implement in WAVE_2 with frontend/backend/data/security/tests together,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
