stable_id,name,type,version,installed_status,intended_wave_status,source_module,vector,duplicate,alias,deferred_or_later_wave,authoritative_reason
xirr,xirr,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
sharpe-ratio,sharpe-ratio,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
sortino-ratio,sortino-ratio,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
maximum-drawdown,maximum-drawdown,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
historical-var,historical-var,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
expected-shortfall,expected-shortfall,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
portfolio-expected-return,portfolio-expected-return,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
portfolio-volatility,portfolio-volatility,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
inverse-volatility-weights,inverse-volatility-weights,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
sip-future-value,sip-future-value,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
step-up-sip,step-up-sip,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
lump-sum-future-value,lump-sum-future-value,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
swp-schedule,swp-schedule,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
goal-planner,goal-planner,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
loan-emi,loan-emi,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
loan-amortization,loan-amortization,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
loan-prepayment,loan-prepayment,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
simple-interest,simple-interest,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
compound-interest,compound-interest,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
apr-to-apy,apr-to-apy,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
apy-to-apr,apy-to-apr,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
impermanent-loss,impermanent-loss,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
black-scholes,black-scholes,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
put-call-parity,put-call-parity,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
bond-price,bond-price,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
bond-duration,bond-duration,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
futures-pnl,futures-pnl,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
fx-pip-value,fx-pip-value,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
minimum-variance-hedge-ratio,minimum-variance-hedge-ratio,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
correlation,correlation,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
beta,beta,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
realized-volatility,realized-volatility,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
sma,sma,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
ema,ema,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
wma,wma,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
vwma,vwma,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
rsi,rsi,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
macd,macd,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
roc,roc,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
stochastic,stochastic,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
cci,cci,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
true-range,true-range,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
atr,atr,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
bollinger-bands,bollinger-bands,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
donchian-channels,donchian-channels,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
keltner-channels,keltner-channels,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
supertrend,supertrend,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
vwap,vwap,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
obv,obv,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
mfi,mfi,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
realized-volatility,realized-volatility,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
rolling-standard-deviation,rolling-standard-deviation,indicator,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/indicator-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head indicator engine
EXPANSION_FORMULA_IDS_UNRECOVERED,101 additional formula stable IDs,formula,,BLOCKED_SOURCE_UNRECOVERABLE,Prompt 2B Wave 1 expansion,original module not recovered,original vectors not recovered,UNKNOWN,UNKNOWN,false,Count reconciled; individual IDs cannot be invented without authoritative bytes
EXPANSION_INDICATOR_IDS_UNRECOVERED,34 additional indicator stable IDs,indicator,,BLOCKED_SOURCE_UNRECOVERABLE,Prompt 2B Wave 1 expansion,original module not recovered,original vectors not recovered,UNKNOWN,UNKNOWN,false,Count reconciled; individual IDs cannot be invented without authoritative bytes
