entity_id,table,migration,line,columns,tenant_key,append_only,soft_delete,status,duplicate_or_legacy_group,risk,source_commit
DB-019,qelly_passkey_credentials,packages/migrations/102_release_a3_passkeys_storage_delivery.sql,40,credential_id|user_id|public_key_jwk|sign_count|transports_json|label|created_at|last_used_at|revoked_at,none,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,missing tenant key review,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-020,qelly_auth_challenges,packages/migrations/102_release_a3_passkeys_storage_delivery.sql,52,challenge_id|user_id|email|kind|challenge|metadata_json|expires_at|used_at|created_at,none,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,missing tenant key review,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-021,qelly_account_recovery_challenges,packages/migrations/103_release_a4_recovery_quarantine_network_policy.sql,4,challenge_id|user_id|email|code_hash|attempts|max_attempts|expires_at|used_at|created_at,none,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,missing tenant key review,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-022,qelly_evidence_graphs,packages/migrations/105_scope_a_decision_provenance.sql,4,graph_id|user_id|tenant_id|workspace_id|title|canonical_id|status|summary_mode|truth_boundary|revision|created_at|updated_at,tenant_id,yes,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-023,qelly_evidence_nodes,packages/migrations/105_scope_a_decision_provenance.sql,19,node_id|graph_id|user_id|tenant_id|workspace_id|node_type|label|classification|data_json|revision|created_at,tenant_id,yes,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-024,qelly_evidence_edges,packages/migrations/105_scope_a_decision_provenance.sql,33,edge_id|graph_id|user_id|tenant_id|workspace_id|edge_type|from_node_id|to_node_id|evidence_json|created_at,tenant_id,yes,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-025,qelly_evidence_exports,packages/migrations/105_scope_a_decision_provenance.sql,47,export_id|graph_id|user_id|tenant_id|workspace_id|sha256|exported_at,tenant_id,yes,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-026,qelly_runtime_documents,packages/migrations/106_deployment_runtime_state.sql,4,document_key|document_type|body_json|revision|created_at|updated_at,none,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,missing tenant key review,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-027,qelly_portfolios,packages/migrations/106_deployment_runtime_state.sql,13,portfolio_id|user_id|tenant_id|workspace_id|name|base_currency|cash_value|positions_json|model_only|revision|created_at|updated_at,tenant_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-028,qelly_audit_records,packages/migrations/106_deployment_runtime_state.sql,31,sequence_id|event_id|tenant_id|workspace_id|event_type|record_json|previous_hash|record_hash|occurred_at|stored_at,tenant_id,yes,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
