component_id,component,states,keyboard_behavior,mobile_behavior,status,implementation_evidence,route_adoption,tests,risk,source_commit
COMP-011,Asset selector,default open loading no-results permission,search and arrows,full-screen search,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-012,Range selector,default hover focus selected disabled,Arrow keys,touch-safe presets,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-013,Slider,default focus disabled error,Arrow keys Home End,large thumb,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-014,Switch,on off focus disabled,Space,label remains visible,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-015,Checkbox,checked mixed unchecked focus disabled,Space,44px label target,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-016,Radio group,default selected focus disabled,Arrow keys,stacked,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-017,Tooltip,hidden visible focus-triggered,Escape,popover alternative,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-018,Popover,closed open loading error,Escape focus return,drawer alternative,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-019,Menu,closed open selected disabled,Arrow keys typeahead Escape,sheet alternative,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-020,Drawer,closed opening open error,Escape focus trap,full height,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-021,Modal,closed open loading error,Escape focus trap,full-screen option,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-022,Command palette,closed open results empty error,Ctrl/Cmd+K arrows Enter Escape,full-screen,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-023,Toast,neutral success warning error,dismiss button,bottom safe area,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-024,Inline notice,info warning error success demo,read in document order,stacked,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-025,Banner,live delayed stale fallback demo unavailable,landmark where persistent,wraps,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-026,Breadcrumbs,default current overflow,links and buttons,collapses safely,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-027,Pagination,default current disabled loading,Tab Enter,compact controls,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-028,Data table,loading empty no-results partial stale fallback error,table semantics and sort controls,priority cards/horizontal grid,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-029,Column customizer,closed open selected disabled,checkboxes and search,sheet,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-030,Density selector,comfortable compact terminal,radio/segmented,compact menu,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-031,Chart toolbar,default selected disabled unavailable,roving controls,scrollable rail,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-032,Evidence panel,loading empty partial stale fallback error,tree/list navigation,drawer,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-033,Provenance inspector,graph list loading orphan error,keyboard graph plus list,list first,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-034,Source tooltip,live delayed stale fallback unavailable,focus-triggered,inline disclosure,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-035,Confidence indicator,high medium low unavailable,read-only label,text plus progress,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-036,Freshness indicator,live delayed stale fallback unavailable,read-only label,icon plus text,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-037,Provider status,operational partial degraded unavailable,read-only disclosure,stacked,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-038,Skeleton,first-load incremental fixed-size,aria-busy on owner,fixed dimensions,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-039,Empty state,first-use no-results filtered permission,recovery action,prioritised copy,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-040,Maintenance state,planned unplanned offline,status and retry,full-route fallback,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
