license_id,provider_id,provider,official_source_verified,terms_verified,pricing_verified,attribution_verified,caching_verified,redistribution_verified,derived_data_rights_verified,commercial_use_verified,geographic_regulatory_review,current_decision,last_verified,notes
LIC-FRANKFURTER-V2,frankfurter-v2,Frankfurter v2,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_OPTIONAL,2026-07-29T15:49:53+05:30,Official docs show no key and central-bank sourced daily data; source-specific terms still apply.
LIC-WORLD-BANK-V2,world-bank-v2,World Bank Indicators API v2,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_OPTIONAL,2026-07-29T15:49:53+05:30,Official API v2; no authentication required.
LIC-FRED,fred,FRED API,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,REQUIRES_AUTHORIZATION,2026-07-29T15:49:53+05:30,"Official terms require API key, notice, and series-level rights review."
LIC-SEC-EDGAR,sec-edgar,SEC EDGAR data APIs,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_OPTIONAL,2026-07-29T15:49:53+05:30,"Official API, no key, no browser CORS, fair access <=10 requests/sec."
LIC-GDELT-DOC,gdelt-doc,GDELT DOC/GEO 2.0,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,EXPERIMENTAL,2026-07-29T15:49:53+05:30,Official project documentation is old and terms/quality/redistribution are not sufficiently current for core use.
LIC-POLYMARKET,polymarket,Polymarket,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,BLOCKED_REGULATION,2026-07-29T15:49:53+05:30,Not implemented; jurisdiction/legal review required.
LIC-ZERODHA-KITE,zerodha-kite,Zerodha Kite Connect,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_USER_AUTH_ONLY,2026-07-29T15:49:53+05:30,"Official docs require account, redirect flow, server-side secret; API not CORS-enabled."
LIC-UPSTOX,upstox,Upstox Developer API,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_USER_AUTH_ONLY,2026-07-29T15:49:53+05:30,Official OAuth and long-lived read-only analytics token documented; static IP applies to account APIs.
LIC-ANGEL-ONE-SMARTAPI,angel-one-smartapi,Angel One SmartAPI,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_USER_AUTH_ONLY,2026-07-29T15:49:53+05:30,"Official docs found; complete security, scope, terms and regulatory review pending."
LIC-IBKR-WEB-API,ibkr-web-api,Interactive Brokers Web API,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,BLOCKED_REGULATION,2026-07-29T15:49:53+05:30,"Official docs show OAuth, funded IBKR Pro requirements, market-data subscriptions and third-party compliance approval."
LIC-ALPACA,alpaca,Alpaca APIs,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_USER_AUTH_ONLY,2026-07-29T15:49:53+05:30,Official OAuth and free paper environment documented; commercial apps/live trading require approval.
LIC-REOWN-APPKIT,reown-appkit,Reown AppKit / WalletConnect,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_USER_AUTH_ONLY,2026-07-29T15:49:53+05:30,Official AppKit connects many wallets; signing/transaction capabilities require strict request allowlists.
LIC-METAMASK,metamask,MetaMask Wallet API/SDK,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_USER_AUTH_ONLY,2026-07-29T15:49:53+05:30,Official developer docs verified.
LIC-COINBASE-WALLET,coinbase-wallet,Coinbase Wallet SDK,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_USER_AUTH_ONLY,2026-07-29T15:49:53+05:30,Candidate; exact current SDK/terms review required before implementation.
LIC-RABBY-WALLET,rabby-wallet,Rabby Wallet,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,REQUIRES_AUTHORIZATION,2026-07-29T15:49:53+05:30,Candidate listed by product requirement; official integration and terms not verified in this run.
LIC-PHANTOM-CONNECT,phantom-connect,Phantom Connect,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_USER_AUTH_ONLY,2026-07-29T15:49:53+05:30,Official Connect SDK and domain/redirect allowlist documented.
LIC-TRADINGVIEW-LIGHTWEIGHT-CHARTS,tradingview-lightweight-charts,TradingView Lightweight Charts,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_EMBED_ONLY,2026-07-29T15:49:53+05:30,External CDN script is runtime dependency; package pin/SRI/self-host and terms review needed.
LIC-GITHUB-PAGES,github-pages,GitHub Pages,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_CORE,2026-07-29T15:49:53+05:30,Verified static preview only.
