feature_id,domain_id,domain,capability,aliases,status,frontend_status,backend_status,data_status,persistence_status,security_status,provider,route,api,database_entity,event_worker,tests,evidence,blocker,dependency,target_wave,owner,user_value,risk,effort,release_scope,public_beta_safe,last_verified,source_commit,notes
beta.migration-rollback,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Migration rollback and release dependency structure,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Architecture documents and release graph,No operational migration introduced,FOUNDATION,WAVE_0,unassigned,CRITICAL,MEDIUM,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
beta.inventory,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Baseline route API schema and contract inventories,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,61 routes; 276 API references; 67 schemas; 187 server contracts; 17 families,Counts are not connectivity proof,FOUNDATION,WAVE_0,unassigned,CRITICAL,MEDIUM,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
providers.market-data,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Connected market-data providers,,PLANNED,PLANNED,PARTIAL,PLANNED,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,No authorized integration test,Terms quotas authorization and redistribution require current verification,FOUNDATION,WAVE_2,unassigned,HIGH,MEDIUM,M,POST_BETA,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
connections.read-only,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Read-only wallet broker exchange connections,,PLANNED,PLANNED,PARTIAL,PLANNED,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,No authorization flow,Prompt 2 scope,FOUNDATION,WAVE_2,unassigned,HIGH,MEDIUM,M,POST_BETA,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
paper-trading,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Deterministic paper-trading engine,,PLANNED,PLANNED,PARTIAL,PLANNED,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,No Prompt 1 implementation evidence,Prompt 2 scope,FOUNDATION,WAVE_2,unassigned,HIGH,MEDIUM,M,POST_BETA,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
marketplace,LEGACY-STABLE-ID,Preserved Prompt 1 registry,EA and strategy marketplace,,PLANNED,PLANNED,PARTIAL,PLANNED,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,No executable marketplace evidence,Prompt 2 scope,FOUNDATION,WAVE_2,unassigned,HIGH,MEDIUM,M,POST_BETA,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
execution.real-money,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Real-money trading,,DEFERRED,DEFERRED,PARTIAL,DEFERRED,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Runtime safety invariant,Requires separate explicit program,FOUNDATION,WAVE_2,unassigned,HIGH,MEDIUM,M,DEFERRED,no,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
custody,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Custody deposits and withdrawals,,DEFERRED,DEFERRED,PARTIAL,DEFERRED,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Runtime safety invariant,Excluded from public beta,FOUNDATION,WAVE_2,unassigned,HIGH,MEDIUM,M,DEFERRED,no,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
secrets.wallet,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Private-key and seed-phrase storage,,DEFERRED,DEFERRED,PARTIAL,DEFERRED,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Runtime safety invariant,Never request or store,FOUNDATION,WAVE_2,unassigned,HIGH,MEDIUM,M,DEFERRED,no,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
deployment.github-pages,LEGACY-STABLE-ID,Preserved Prompt 1 registry,GitHub Pages static visual preview,,IMPLEMENTED_CONNECTED,IMPLEMENTED_CONNECTED,PARTIAL,DEMO,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Deployment 5654166920 on commit 46233298031372c51bb433229bd7f9d1aff70568; public resource probes,Public static/read-only preview; not connected full production,FOUNDATION,WAVE_0,unassigned,CRITICAL,MEDIUM,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
F-D01-public-homepage,D01,PUBLIC DISCOVERY,public homepage,,PROTOTYPE,PROTOTYPE,PARTIAL,SIMULATED,PARTIAL,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,HIGH,MEDIUM,M,PUBLIC_BETA_MUST,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-market-overview,D01,PUBLIC DISCOVERY,market overview,,PROTOTYPE,PROTOTYPE,PARTIAL,SIMULATED,PARTIAL,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,HIGH,MEDIUM,M,PUBLIC_BETA_MUST,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-asset-rankings,D01,PUBLIC DISCOVERY,asset rankings,,PROTOTYPE,PROTOTYPE,PARTIAL,SIMULATED,PARTIAL,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,HIGH,MEDIUM,M,PUBLIC_BETA_MUST,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-gainers-losers,D01,PUBLIC DISCOVERY,gainers/losers,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,SECURITY,WAVE_2,unassigned,MEDIUM,HIGH,L,POST_BETA,conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-trending-assets,D01,PUBLIC DISCOVERY,trending assets,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-new-listings,D01,PUBLIC DISCOVERY,new listings,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_6,unassigned,MEDIUM,MEDIUM,PROGRAM,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-sectors,D01,PUBLIC DISCOVERY,sectors,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-themes,D01,PUBLIC DISCOVERY,themes,D02:ASSET INTELLIGENCE|D22:DESIGN SYSTEM AND UX,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,,FOUNDATION,WAVE_2,unassigned,HIGH,MEDIUM,M,PUBLIC_BETA_MUST,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-categories,D01,PUBLIC DISCOVERY,categories,,PROTOTYPE,PROTOTYPE,PARTIAL,SIMULATED,PARTIAL,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,HIGH,MEDIUM,M,PUBLIC_BETA_MUST,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-exchange-rankings,D01,PUBLIC DISCOVERY,exchange rankings,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,SECURITY,WAVE_2,unassigned,MEDIUM,HIGH,L,POST_BETA,conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-broker-directory,D01,PUBLIC DISCOVERY,broker directory,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,SECURITY,WAVE_2,unassigned,MEDIUM,HIGH,L,POST_BETA,conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-provider-directory,D01,PUBLIC DISCOVERY,provider directory,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-market-status,D01,PUBLIC DISCOVERY,market status,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-global-sessions,D01,PUBLIC DISCOVERY,global sessions,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-public-asset-pages,D01,PUBLIC DISCOVERY,public asset pages,,PROTOTYPE,PROTOTYPE,PARTIAL,SIMULATED,PARTIAL,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,HIGH,MEDIUM,M,PUBLIC_BETA_MUST,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-public-strategy-pages,D01,PUBLIC DISCOVERY,public strategy pages,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_5,unassigned,MEDIUM,MEDIUM,PROGRAM,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-public-creator-pages,D01,PUBLIC DISCOVERY,public creator pages,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_6,unassigned,MEDIUM,MEDIUM,PROGRAM,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-public-calculator-pages,D01,PUBLIC DISCOVERY,public calculator pages,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_1,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-public-research-pages,D01,PUBLIC DISCOVERY,public research pages,,PROTOTYPE,PROTOTYPE,PARTIAL,SIMULATED,PARTIAL,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,HIGH,MEDIUM,M,PUBLIC_BETA_MUST,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-public-news,D01,PUBLIC DISCOVERY,public news,,PROTOTYPE,PROTOTYPE,PARTIAL,SIMULATED,PARTIAL,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,PROVIDER,WAVE_2,unassigned,HIGH,MEDIUM,M,PUBLIC_BETA_MUST,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-public-education,D01,PUBLIC DISCOVERY,public education,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
F-D01-public-community,D01,PUBLIC DISCOVERY,public community,,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,none/local or TBD,TBD/mapped in route inventory,TBD/mapped in API inventory,TBD/mapped in DB inventory,TBD/mapped in worker inventory,see QELLY_TEST_COVERAGE_MATRIX.csv,exact source audit; registry/route presence is not completion,implementation and end-to-end evidence,DATABASE,WAVE_2,unassigned,MEDIUM,MEDIUM,L,POST_BETA,yes,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Conservative classification; no feature-count inflation.
