"stable_id","name","category","version","implementation_version","created_at","aliases","required_fields","optional_fields","parameters","warmup","missing_value_behavior","input_ordering","output_alignment","complexity","streaming_feasible","reference_method","reference_vector_status","property_test_status","fuzz_status","parity_status","performance_status","security_status","product_truth","detail_route","provenance_status"
"fresh-mean-absolute-range","Mean Absolute Range","volatility","2.0.0","fresh-2026.1","2026-07-30","","high|low","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-mean-absolute-range","FRESH_REIMPLEMENTATION_2026"
"fresh-parkinson-volatility","Parkinson Volatility","volatility","2.0.0","fresh-2026.1","2026-07-30","","high|low","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-parkinson-volatility","FRESH_REIMPLEMENTATION_2026"
"fresh-garman-klass-volatility","Garman-Klass Volatility","volatility","2.0.0","fresh-2026.1","2026-07-30","","open|high|low|close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-garman-klass-volatility","FRESH_REIMPLEMENTATION_2026"
"fresh-close-to-close-volatility","Close-to-Close Volatility","volatility","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-close-to-close-volatility","FRESH_REIMPLEMENTATION_2026"
"fresh-rolling-standard-error","Rolling Standard Error","statistical","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-rolling-standard-error","FRESH_REIMPLEMENTATION_2026"
"fresh-chaikin-money-flow","Chaikin Money Flow","volume","2.0.0","fresh-2026.1","2026-07-30","","high|low|close|volume","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-chaikin-money-flow","FRESH_REIMPLEMENTATION_2026"
"fresh-accumulation-distribution-line","Accumulation Distribution Line","volume","2.0.0","fresh-2026.1","2026-07-30","","high|low|close|volume","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-accumulation-distribution-line","FRESH_REIMPLEMENTATION_2026"
"fresh-force-index","Force Index","volume","2.0.0","fresh-2026.1","2026-07-30","","close|volume","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-force-index","FRESH_REIMPLEMENTATION_2026"
"fresh-ease-of-movement","Ease of Movement","volume","2.0.0","fresh-2026.1","2026-07-30","","high|low|volume","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-ease-of-movement","FRESH_REIMPLEMENTATION_2026"
"fresh-negative-volume-index","Negative Volume Index","volume","2.0.0","fresh-2026.1","2026-07-30","","close|volume","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-negative-volume-index","FRESH_REIMPLEMENTATION_2026"
"fresh-positive-volume-index","Positive Volume Index","volume","2.0.0","fresh-2026.1","2026-07-30","","close|volume","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-positive-volume-index","FRESH_REIMPLEMENTATION_2026"
"fresh-typical-price","Typical Price","price-transform","2.0.0","fresh-2026.1","2026-07-30","","high|low|close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-typical-price","FRESH_REIMPLEMENTATION_2026"
"fresh-median-price","Median Price","price-transform","2.0.0","fresh-2026.1","2026-07-30","","high|low","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-median-price","FRESH_REIMPLEMENTATION_2026"
"fresh-weighted-close","Weighted Close","price-transform","2.0.0","fresh-2026.1","2026-07-30","","high|low|close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-weighted-close","FRESH_REIMPLEMENTATION_2026"
"fresh-price-channel","Price Channel","channels-bands","2.0.0","fresh-2026.1","2026-07-30","","high|low","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-price-channel","FRESH_REIMPLEMENTATION_2026"
"fresh-standard-error-bands","Standard Error Bands","channels-bands","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-standard-error-bands","FRESH_REIMPLEMENTATION_2026"
"fresh-rolling-z-score","Rolling Z-Score","statistical","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-rolling-z-score","FRESH_REIMPLEMENTATION_2026"
"fresh-rolling-skewness","Rolling Skewness","statistical","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-rolling-skewness","FRESH_REIMPLEMENTATION_2026"
"fresh-rolling-excess-kurtosis","Rolling Excess Kurtosis","statistical","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-rolling-excess-kurtosis","FRESH_REIMPLEMENTATION_2026"
"fresh-choppiness-index","Choppiness Index","regime-helper","2.0.0","fresh-2026.1","2026-07-30","","high|low|close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-choppiness-index","FRESH_REIMPLEMENTATION_2026"
"fresh-classic-pivot-points","Classic Pivot Points","support-resistance","2.0.0","fresh-2026.1","2026-07-30","","high|low|close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-classic-pivot-points","FRESH_REIMPLEMENTATION_2026"
"fresh-rolling-support-resistance","Rolling Support and Resistance","support-resistance","2.0.0","fresh-2026.1","2026-07-30","","high|low","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-rolling-support-resistance","FRESH_REIMPLEMENTATION_2026"
