formula_id,name,domain,inputs,input_units,output,assumptions,precision,rounding,effective_dates,source_reference,edge_cases,test_vectors,client_status,server_status,version,target_wave,source_commit
F-BOND-YTM,Bond yield to maturity,fixed income,"cashflows,dates,price,day_count","currency,date,price,enum",yield,cashflows known; convention explicit,high precision iterative,display basis points,cashflow/calendar effective dates,fixed-income convention,multiple roots; odd coupons,par bond=>coupon under matching conventions,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-DEFI-IL,Impermanent loss,DeFi,"price_ratio,weights",ratio,loss ratio,constant-product/weight model,"decimal(38,16)",display 4dp,protocol methodology version,AMM formula,zero/negative ratio,ratio=1=>0,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-SMA,Simple moving average,indicator,"series,period","price,count",series,complete window policy,"decimal(38,16)",preserve input scale,methodology-versioned,standard TA,period<=0; insufficient data,"[1,2,3],3=>2",PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-EMA,Exponential moving average,indicator,"series,period,seed_method","price,count,enum",series,alpha=2/(n+1); seed explicit,"decimal(38,16)",preserve input scale,methodology-versioned,standard TA,insufficient warmup,known vector,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-RSI,Relative Strength Index,indicator,"close_series,period,smoothing","price,count,enum",0..100 series,Wilder smoothing default,"decimal(18,10)",display 2dp,methodology-versioned,Welles Wilder,zero loss/gain,known vector,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ATR,Average True Range,indicator,"ohlc,period,smoothing","price,count,enum",price series,true range + Wilder smoothing,"decimal(38,16)",instrument tick,methodology-versioned,Welles Wilder,gaps; insufficient warmup,known vector,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-MACD,MACD,indicator,"close,fast,slow,signal","price,count","macd,signal,histogram",EMA seed explicit,"decimal(38,16)",preserve scale,methodology-versioned,standard TA,fast>=slow; warmup,known vector,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-BOLLINGER,Bollinger Bands,indicator,"series,period,stddev_multiplier,variance_mode","price,count,ratio,enum","upper,middle,lower",population/sample convention explicit,"decimal(38,16)",preserve scale,methodology-versioned,John Bollinger,zero variance; warmup,known vector,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-VWAP,VWAP,indicator,"price,volume,session_anchor","price,quantity,time",price series,session resets explicit,"decimal(38,16)",instrument tick,calendar/session effective date,standard market microstructure,zero volume; session boundaries,known vector,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-SUPERTREND,Supertrend,indicator,"ohlc,atr_period,multiplier","price,count,ratio",trend/band series,ATR convention explicit,"decimal(38,16)",instrument tick,methodology-versioned,standard TA,warmup; gaps,known vector,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-PARKINSON,Parkinson volatility,volatility,"high_low_series,annualization","price,periods",annualized volatility,continuous prices; no overnight info,"decimal(38,16)",display 4dp,methodology-versioned,Parkinson 1980,nonpositive prices,known vector,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-TAX-INDIA-INCOME,India income tax,India tax,"financial_year,regime,taxable_income,age/status","FY,enum,currency,enum","tax,surcharge,cess",law/rules effective-dated,paise precision,statutory rounding,REQUIRED by financial year/effective date,official India tax law/rules,"rebate, marginal relief, surcharge thresholds",version-specific vectors,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-CHARGE-INDIA-TRADE,India brokerage/statutory charges,India trading charges,"effective_date,segment,side,turnover,broker_plan,state","date,enum,enum,currency,enum,state",charge breakdown,each levy versioned,paise precision,statutory/broker rounding,REQUIRED,official exchange/SEBI/broker schedules,"caps, minimums, GST base",version-specific vectors,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-SMA-2,SMA,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-EMA-2,EMA,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-WMA,WMA,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-VWMA,VWMA,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-DEMA,DEMA,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-TEMA,TEMA,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-HMA,HMA,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-KAMA,KAMA,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ICHIMOKU,Ichimoku,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-PARABOLIC-SAR,Parabolic SAR,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-DONCHIAN,Donchian,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-KELTNER,Keltner,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-REGRESSION-CHANNELS,regression channels,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-MOVING-AVERAGE-RIBBONS,moving-average ribbons,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-SLOPES,slopes,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-TREND-STRENGTH,trend strength.,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-RSI-2,RSI,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-STOCHASTIC-RSI,Stochastic RSI,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-STOCHASTIC,Stochastic,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-CCI,CCI,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ROC,ROC,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-WILLIAMS-R,Williams %R,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ADX-DMI,ADX/DMI,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-AWESOME-OSCILLATOR,Awesome Oscillator,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-TSI,TSI,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-DIVERGENCES,divergences,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-BREADTH-MOMENTUM,breadth momentum.,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ATR-2,ATR,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-BANDWIDTH,bandwidth,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-REALIZED-VOLATILITY,realized volatility,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-VOLATILITY-CONES,volatility cones,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-PARKINSON-2,Parkinson,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-GARMAN-KLASS,Garman-Klass,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ROGERS-SATCHELL,Rogers-Satchell,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-YANG-ZHANG-WHERE-INPUTS-SUPPORT-IT,Yang-Zhang where inputs support it,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-VOLATILITY-REGIMES,volatility regimes,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-REALIZED-VERSUS-IMPLIED,realized versus implied.,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ANCHORED-VWAP,anchored VWAP,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-OBV,OBV,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-MFI,MFI,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-CMF,CMF,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ACCUMULATION-DISTRIBUTION,accumulation/distribution,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-VOLUME-PROFILE,volume profile,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-MARKET-PROFILE,market profile,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-CVD,CVD,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-BID-ASK-DELTA,bid/ask delta,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-FOOTPRINT,footprint,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-IMBALANCES,imbalances,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ORDER-BOOK-DEPTH,order-book depth,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-LIQUIDITY-HEATMAP,liquidity heatmap,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-TIME-AND-SALES,time and sales,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-LARGE-TRADE-DETECTION,large-trade detection,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-SWEEP-DETECTION,sweep detection,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ICEBERG-HEURISTIC,iceberg heuristic,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-SPOOFING-CANCEL-WALL-HEURISTIC,spoofing/cancel-wall heuristic,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-ORDER-BOOK-IMBALANCE,order-book imbalance,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-QUEUE-PRESSURE,queue pressure,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-MICROPRICE,microprice.,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-OPEN-INTEREST,open interest,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-OI-CHANGE,OI change,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-FUNDING,funding,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-BASIS,basis,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-TERM-STRUCTURE,term structure,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-CONTANGO-BACKWARDATION,contango/backwardation,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-PUT-CALL,put-call,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-MAX-PAIN,max pain,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-IV,IV,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-IV-SURFACE,IV surface,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-IND-SKEW,skew,indicator,to be specified,to be specified,to be specified,methodology must be explicit,financial-grade decimal,documented,effective-date if rule/rate dependent,authoritative reference required,define edge cases,reference vectors required,PLANNED,PLANNED,0.1,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
