feature_id,domain,capability,status,frontend_status,backend_status,data_status,persistence_status,security_status,provider,route,api,database_entity,event_worker,tests,evidence,blocker,dependency,target_wave,owner,last_verified,source_commit,notes
REQ-PAPER-TRADER,Trading,Paper trader,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No paper order/fill/portfolio accounting engine.,No paper order/fill/portfolio accounting engine.,FOUNDATION,WAVE_3,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-OBS-LIQUIDATIONS,Liquidation Intelligence,Observed liquidations,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No venue liquidation stream or normalized tape.,No venue liquidation stream or normalized tape.,PROVIDER,WAVE_3,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-EST-LIQ-HEATMAP,Liquidation Intelligence,Estimated liquidation heatmap,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No methodology implementation; must be explicitly ESTIMATED when built.,No methodology implementation; must be explicitly ESTIMATED when built.,FOUNDATION,WAVE_7,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-WHALE,Whale Intelligence,Whale detector,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No trade/on-chain entity detector.,No trade/on-chain entity detector.,PROVIDER,WAVE_7,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-ORDER-FLOW,Order Flow,Order-flow workstation,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No L2/tape/CVD/footprint/sequence-gap implementation.,No L2/tape/CVD/footprint/sequence-gap implementation.,PROVIDER,WAVE_7,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-OPTIONS,Options,Options intelligence,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No chains/IV surface/Greeks exposure engine.,No chains/IV surface/Greeks exposure engine.,PROVIDER,WAVE_7,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-ONCHAIN,On-chain,On-chain intelligence,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No chain indexer/provider/entity graph.,No chain indexer/provider/entity graph.,PROVIDER,WAVE_7,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-NEWS,Research and News,News,PROTOTYPE,PROTOTYPE,PROTOTYPE,SIMULATED,PARTIAL,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,"Deterministic discovery/news records and route exist; no live licensed feed, dedupe or citation pipeline.","Deterministic discovery/news records and route exist; no live licensed feed, dedupe or citation pipeline.",PROVIDER,WAVE_2,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-COMMUNITY,Community,Community,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No posts/comments/moderation/reputation implementation.,No posts/comments/moderation/reputation implementation.,FOUNDATION,WAVE_2,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-AI-COPILOT,Research AI,AI Copilot,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,"No grounded model runtime, retrieval or citation enforcement.","No grounded model runtime, retrieval or citation enforcement.",FOUNDATION,WAVE_8,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-GOVERNED-AGENTS,Research AI,Governed agents,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,"No agent tool runtime, permission boundary or human approval engine.","No agent tool runtime, permission boundary or human approval engine.",FOUNDATION,WAVE_8,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
