route,label,section,milestone,public,hidden,anonymous_only,classification,data_state,notes
security-setup,MFA Setup,Account,A2,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
staging-assurance,Staging Assurance,Operations,A5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
stream-operations,Stream Operations,Data Plane,W4,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
theme-lab,Theme Laboratory,Platform,W1,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
theme-personas,Theme Personas,Experience,P22,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
timeseries-lab,Time Series Lab,Data Plane,W4,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
trust-center,Trust Center,Discover,W5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
venue-detail,Venue Detail,Detail,W5,false,true,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
venues,Venues,Discover,W5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
watchlist,Watchlists,Workspace,W7,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
