service_id,service,source_file,status,exports,test_evidence,persistence,provider_dependency,auth_tenancy,observability,production_readiness,risk,source_commit
SVC-012,"rolePermissions, identitySeed",src/identity/identity-fixtures.mjs,MOCK_ONLY,rolePermissions | identitySeed,none found by static match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-013,IdentityService,src/identity/identity-service.mjs,UNTESTED,IdentityService,none found by static match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-014,ImportService,src/imports/import-service.mjs,PARTIAL,ImportService,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-015,instrumentSeed,src/instruments/instrument-seed.mjs,MOCK_ONLY,instrumentSeed,none found by static match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-016,InstrumentStore,src/instruments/instrument-store.mjs,UNTESTED,InstrumentStore,none found by static match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-017,LiveMarketService,src/live-markets/live-market-service.mjs,PROVIDER_BLOCKED,LiveMarketService,test import/name match,none/unknown,yes,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,provider/legal blocker,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-018,PublicMarketService,src/markets/public-market-service.mjs,PROVIDER_BLOCKED,PublicMarketService,test import/name match,none/unknown,yes,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,provider/legal blocker,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-019,"redactLogValue, ObservabilityService",src/observability/observability-service.mjs,PARTIAL,redactLogValue | ObservabilityService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-020,OnboardingStore,src/onboarding/onboarding-store.mjs,PARTIAL,OnboardingStore,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-021,canonicalize,src/platform/canonical-json.mjs,UNTESTED,canonicalize,none found by static match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-022,AtomicJsonStore,src/platform/json-store.mjs,PARTIAL,AtomicJsonStore,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-023,local-file-lock,src/platform/local-file-lock.mjs,UNTESTED,,none found by static match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-024,MigrationPlanService,src/platform/migration-plan-service.mjs,PARTIAL,MigrationPlanService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-025,PortfolioService,src/portfolio/portfolio-service.mjs,PARTIAL,PortfolioService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-026,PostgresPortfolioService,src/portfolio/postgres-portfolio-service.mjs,UNTESTED,PostgresPortfolioService,none found by static match,postgres,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-027,AccountRecoveryService,src/production/account-recovery-service.mjs,PARTIAL,AccountRecoveryService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-028,ProductionAuthService,src/production/auth-service.mjs,UNTESTED,ProductionAuthService,none found by static match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-029,"randomToken, sha256, hmacSha256, timingSafeEqualText, normalizeEmail",src/production/crypto-utils.mjs,UNTESTED,randomToken | sha256 | hmacSha256 | timingSafeEqualText | normalizeEmail | nowIso | addMsIso,none found by static match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-030,"WebhookReplayGuard, LocalDeliveryAdapter, SignedWebhookAdapter, HttpEmailAdapter, DeliveryService",src/production/delivery-service.mjs,PARTIAL,WebhookReplayGuard | LocalDeliveryAdapter | SignedWebhookAdapter | HttpEmailAdapter | DeliveryService | createDeliveryService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-031,"decodeKeyMaterial, inspectDeploymentEnvironment, validateDeploymentEnvironment",src/production/deployment-environment.mjs,PARTIAL,decodeKeyMaterial | inspectDeploymentEnvironment | validateDeploymentEnvironment,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-032,IdentityGateway,src/production/identity-gateway.mjs,UNTESTED,IdentityGateway,none found by static match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-033,ProductionJobQueue,src/production/job-queue.mjs,PARTIAL,ProductionJobQueue,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-034,"hotp, totpCode, MfaService",src/production/mfa-service.mjs,PARTIAL,hotp | totpCode | MfaService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-035,"isBlockedAddress, OutboundNetworkPolicy",src/production/network-policy.mjs,PARTIAL,isBlockedAddress | OutboundNetworkPolicy,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-036,"FoundationMalwareScanner, ClamAvTcpScanner, createMalwareScanner, LocalObjectStorage, S3CompatibleObjectStorage",src/production/object-storage.mjs,PARTIAL,FoundationMalwareScanner | ClamAvTcpScanner | createMalwareScanner | LocalObjectStorage | S3CompatibleObjectStorage | createObjectStorage,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-037,"base64url, fromBase64url, decodeCbor, parseAuthenticatorData, PasskeyService",src/production/passkey-service.mjs,PARTIAL,base64url | fromBase64url | decodeCbor | parseAuthenticatorData | PasskeyService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-038,validatePasswordPolicy,src/production/password-hasher.mjs,PARTIAL,validatePasswordPolicy,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-039,PlatformAssuranceService,src/production/platform-assurance-service.mjs,PARTIAL,PlatformAssuranceService,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-040,PostgresAuditLedger,src/production/postgres-audit-ledger.mjs,UNTESTED,PostgresAuditLedger,none found by static match,postgres,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-041,PostgresDocumentStore,src/production/postgres-document-store.mjs,UNTESTED,PostgresDocumentStore,none found by static match,postgres,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-042,"postgresTlsOptions, postgresConnectionOptions, PostgresPoolClient, PostgresDirectClient",src/production/postgres-pool-client.mjs,PARTIAL,postgresTlsOptions | postgresConnectionOptions | PostgresPoolClient | PostgresDirectClient,test import/name match,postgres,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-043,PostgresProductionRepository,src/production/postgres-production-repository.mjs,PARTIAL,PostgresProductionRepository,test import/name match,postgres,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-044,"parsePostgresUrl, PostgresWireClient, sqlLiteral",src/production/postgres-wire-client.mjs,UNTESTED,parsePostgresUrl | PostgresWireClient | sqlLiteral,none found by static match,postgres,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-045,production-foundation,src/production/production-foundation.mjs,PARTIAL,,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-046,"parseRedisUrl, RedisRespClient, __respTest",src/production/redis-resp-client.mjs,UNTESTED,parseRedisUrl | RedisRespClient | __respTest,none found by static match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-047,repository-factory,src/production/repository-factory.mjs,UNTESTED,,none found by static match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,untested module,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-048,"AesGcmSecretProtector, VersionedKeyringSecretProtector, createSecretProtector",src/production/secret-protector.mjs,PARTIAL,AesGcmSecretProtector | VersionedKeyringSecretProtector | createSecretProtector,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-049,SecretRotationService,src/production/secret-rotation-service.mjs,PARTIAL,SecretRotationService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-050,"SESSION_COOKIE, parseCookies, signSessionToken, verifySignedSession, issueSessionToken",src/production/session-cookie.mjs,PARTIAL,SESSION_COOKIE | parseCookies | signSessionToken | verifySignedSession | issueSessionToken | serializeSessionCookie | clearSessionCookie,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-051,SqliteProductionRepository,src/production/sqlite-production-repository.mjs,PARTIAL,SqliteProductionRepository,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-052,FixtureMarketAdapter,src/providers/adapters/fixture-market-adapter.mjs,MOCK_ONLY,FixtureMarketAdapter,none found by static match,none/unknown,yes,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-053,ProviderRuntime,src/providers/provider-runtime.mjs,PROVIDER_BLOCKED,ProviderRuntime,test import/name match,none/unknown,yes,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,provider/legal blocker,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-054,"createObservabilityEvent, createProviderFailureEvent",src/public-beta/observability.mjs,PARTIAL,createObservabilityEvent | createProviderFailureEvent,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-055,"ProviderAdapterError, PublicBetaProviderAdapter",src/public-beta/provider-adapter.mjs,PARTIAL,ProviderAdapterError | PublicBetaProviderAdapter,test import/name match,none/unknown,yes,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-056,"validatePublicBetaRuntimeConfig, publicBetaSafetySnapshot",src/public-beta/runtime-config.mjs,PARTIAL,validatePublicBetaRuntimeConfig | publicBetaSafetySnapshot,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-057,"PUBLIC_BETA_TRUTH_STATES, assertTruthState, createEvidenceEnvelope, isConnectedState",src/public-beta/truth-state.mjs,PARTIAL,PUBLIC_BETA_TRUTH_STATES | assertTruthState | createEvidenceEnvelope | isConnectedState,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-058,ResearchVersionStore,src/research/research-version-store.mjs,PARTIAL,ResearchVersionStore,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-059,AuditLedger,src/security/audit-ledger.mjs,PARTIAL,AuditLedger,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-060,CsrfTokenStore,src/security/csrf-token-store.mjs,PARTIAL,CsrfTokenStore,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-061,IdempotencyStore,src/security/idempotency-store.mjs,PARTIAL,IdempotencyStore,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-062,TokenBucketLimiter,src/security/rate-limiter.mjs,PARTIAL,TokenBucketLimiter,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-063,"instruments, marketRows, marketOverview, chartSeries, providers",src/server/fixtures.mjs,MOCK_ONLY,instruments | marketRows | marketOverview | chartSeries | providers | watchlist | assetDossier | identityContext,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-064,"THEME_FAMILIES, THEME_PERSONAS, ALPHA_INTENSITIES, ALPHA_PACKS, defaultPreferences",src/server/preferences-store.mjs,PARTIAL,THEME_FAMILIES | THEME_PERSONAS | ALPHA_INTENSITIES | ALPHA_PACKS | defaultPreferences | PreferenceStore | validatePreference,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-065,"productVersion, legacyRelease, release, routes, apiRoutes",src/server/route-manifest.mjs,CONTRACT_ONLY,productVersion | legacyRelease | release | routes | apiRoutes | contracts,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-066,createRuntime,src/server/runtime.mjs,PARTIAL,createRuntime,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-067,"createRuntime, createServer",src/server/server.mjs,PARTIAL,createRuntime | createServer,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-068,StreamGateway,src/streaming/stream-gateway.mjs,PARTIAL,StreamGateway,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-069,TimeSeriesStore,src/timeseries/timeseries-store.mjs,PARTIAL,TimeSeriesStore,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-070,SchemaRegistry,src/validation/schema-validator.mjs,PARTIAL,SchemaRegistry,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-071,compileFormula,src/workspace/formula-engine.mjs,PARTIAL,compileFormula,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-072,ScreenerService,src/workspace/screener-service.mjs,PARTIAL,ScreenerService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-073,"emptyWorkspaceOperationsSeed, workspaceOperationsDocumentKey, WorkspaceOperationsStore",src/workspace/workspace-operations-store.mjs,PARTIAL,emptyWorkspaceOperationsSeed | workspaceOperationsDocumentKey | WorkspaceOperationsStore,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
