provider_id,provider_name,official_legal_entity,purpose,exact_base_url,endpoint_or_stream,documentation_url,terms_url,pricing_url,status_page,authentication_type,required_scope,free_tier_limits,rate_limits,cors_behavior,browser_or_server,data_fields,asset_classes,markets_regions,latency_freshness,cache_policy,licensing_attribution_redistribution,fallback,implementation_status,conformance_classification,owner,last_verified,schema_status,correctness_status,production_eligibility,recommended_action,source_commit
frankfurter-v2,Frankfurter v2,Line of Flight/open source,daily FX reference rates,https://api.frankfurter.dev,/v2/rates,,current official terms/legal review required,current official pricing review required,,NONE,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official docs show no key and central-bank sourced daily data; source-specific terms still apply.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_OPTIONAL,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Reference/delayed FX only; not intraday trading feed.,eafb11719e67135c7a6fa3b15e1170c5192e4771
world-bank-v2,World Bank Indicators API v2,World Bank,macro indicators,https://api.worldbank.org,/v2/*,,current official terms/legal review required,current official pricing review required,,NONE,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official API v2; no authentication required.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_OPTIONAL,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Macro research only; display source/update metadata.,eafb11719e67135c7a6fa3b15e1170c5192e4771
fred,FRED API,Federal Reserve Bank of St. Louis,macro time series,https://api.stlouisfed.org,/fred/*,,current official terms/legal review required,current official pricing review required,,API key,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,"Official terms require API key, notice, and series-level rights review.",explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,REQUIRES_AUTHORIZATION,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Server-side key; series license/ownership review per dataset.,eafb11719e67135c7a6fa3b15e1170c5192e4771
sec-edgar,SEC EDGAR data APIs,U.S. SEC,filings/XBRL/submissions history,https://data.sec.gov,/submissions|/api/xbrl,,current official terms/legal review required,current official pricing review required,,NONE,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,"Official API, no key, no browser CORS, fair access <=10 requests/sec.",explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_OPTIONAL,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,"Server-side ingestion, descriptive User-Agent, cache/bulk archives.",eafb11719e67135c7a6fa3b15e1170c5192e4771
gdelt-doc,GDELT DOC/GEO 2.0,GDELT Project,news/event discovery,https://api.gdeltproject.org,DOC/GEO 2.0,,current official terms/legal review required,current official pricing review required,,NONE,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official project documentation is old and terms/quality/redistribution are not sufficiently current for core use.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,EXPERIMENTAL,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Experimental discovery only; not a canonical news source.,eafb11719e67135c7a6fa3b15e1170c5192e4771
polymarket,Polymarket,Polymarket,prediction-market intelligence,https://gamma-api.polymarket.com,planned,,current official terms/legal review required,current official pricing review required,,public/user auth depending endpoint,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Not implemented; jurisdiction/legal review required.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,BLOCKED_REGULATION,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Non-tradable intelligence only.,eafb11719e67135c7a6fa3b15e1170c5192e4771
zerodha-kite,Zerodha Kite Connect,Zerodha,read-only account/portfolio/market data candidate,https://api.kite.trade,Kite Connect v3,,current official terms/legal review required,current official pricing review required,,user authorization + app secret,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,"Official docs require account, redirect flow, server-side secret; API not CORS-enabled.",explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_USER_AUTH_ONLY,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Read-only first; trading scope excluded from beta.,eafb11719e67135c7a6fa3b15e1170c5192e4771
upstox,Upstox Developer API,Upstox,read-only portfolio/market data candidate,https://api.upstox.com/v2,OAuth/analytics token APIs,,current official terms/legal review required,current official pricing review required,,OAuth or read-only analytics token,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official OAuth and long-lived read-only analytics token documented; static IP applies to account APIs.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_USER_AUTH_ONLY,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Use least privilege; no trading scope.,eafb11719e67135c7a6fa3b15e1170c5192e4771
angel-one-smartapi,Angel One SmartAPI,Angel One,broker/market data candidate,https://apiconnect.angelone.in,SmartAPI,,current official terms/legal review required,current official pricing review required,,user/app authorization,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,"Official docs found; complete security, scope, terms and regulatory review pending.",explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_USER_AUTH_ONLY,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Read-only first; server-side credentials.,eafb11719e67135c7a6fa3b15e1170c5192e4771
ibkr-web-api,Interactive Brokers Web API,Interactive Brokers,global broker read-only portfolio/instruments candidate,https://api.ibkr.com,unified Web API,,current official terms/legal review required,current official pricing review required,,OAuth/user account; third-party approval may apply,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,"Official docs show OAuth, funded IBKR Pro requirements, market-data subscriptions and third-party compliance approval.",explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,BLOCKED_REGULATION,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Read-only subset only after approval; no trading in beta.,eafb11719e67135c7a6fa3b15e1170c5192e4771
alpaca,Alpaca APIs,Alpaca,paper/read-only brokerage and market data candidate,https://api.alpaca.markets,OAuth/market data/paper API,,current official terms/legal review required,current official pricing review required,,OAuth/API keys,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official OAuth and free paper environment documented; commercial apps/live trading require approval.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_USER_AUTH_ONLY,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Paper/read-only first; trading scope omitted.,eafb11719e67135c7a6fa3b15e1170c5192e4771
reown-appkit,Reown AppKit / WalletConnect,Reown,wallet connection transport,https://docs.reown.com,AppKit,https://docs.reown.com,current official terms/legal review required,current official pricing review required,,project ID/user wallet authorization,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official AppKit connects many wallets; signing/transaction capabilities require strict request allowlists.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_USER_AUTH_ONLY,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Read-only address/balance discovery first; never request seed phrase/private key.,eafb11719e67135c7a6fa3b15e1170c5192e4771
metamask,MetaMask Wallet API/SDK,Consensys/MetaMask,wallet connection candidate,https://docs.metamask.io,Wallet API/SDK,https://docs.metamask.io,current official terms/legal review required,current official pricing review required,,user wallet approval,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official developer docs verified.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_USER_AUTH_ONLY,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Read-only chain/account requests; no custody.,eafb11719e67135c7a6fa3b15e1170c5192e4771
coinbase-wallet,Coinbase Wallet SDK,Coinbase,wallet connection candidate,https://docs.cdp.coinbase.com/wallet-sdk,wallet SDK,https://docs.cdp.coinbase.com/wallet-sdk,current official terms/legal review required,current official pricing review required,,user wallet approval,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Candidate; exact current SDK/terms review required before implementation.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_USER_AUTH_ONLY,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,No custody/private keys.,eafb11719e67135c7a6fa3b15e1170c5192e4771
rabby-wallet,Rabby Wallet,DeBank/Rabby,wallet connection candidate,https://rabby.io,injected/EIP provider,,current official terms/legal review required,current official pricing review required,,user wallet approval,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Candidate listed by product requirement; official integration and terms not verified in this run.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,REQUIRES_AUTHORIZATION,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Use EIP-6963/injected provider only after official review.,eafb11719e67135c7a6fa3b15e1170c5192e4771
phantom-connect,Phantom Connect,Phantom,multi-chain wallet connection candidate,https://docs.phantom.com,Connect SDK,https://docs.phantom.com,current official terms/legal review required,current official pricing review required,,user wallet approval + domain allowlist,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official Connect SDK and domain/redirect allowlist documented.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_USER_AUTH_ONLY,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Read-only first; no custody/private keys.,eafb11719e67135c7a6fa3b15e1170c5192e4771
tradingview-lightweight-charts,TradingView Lightweight Charts,TradingView,chart rendering library via external script,https://unpkg.com/lightweight-charts,standalone production script,,current official terms/legal review required,current official pricing review required,,NONE,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,External CDN script is runtime dependency; package pin/SRI/self-host and terms review needed.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,IMPLEMENTED_EMBEDDED,APPROVED_EMBED_ONLY,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,limited,Not a market-data provider; blocked/offline fallback required.,eafb11719e67135c7a6fa3b15e1170c5192e4771
github-pages,GitHub Pages,GitHub,static preview hosting,https://hemangsah.github.io/qelly-intelligence/,static deployment,,current official terms/legal review required,current official pricing review required,,GitHub repository authorization,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Verified static preview only.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,IMPLEMENTED_CONNECTED,APPROVED_CORE,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,limited,Not evidence of connected backend.,eafb11719e67135c7a6fa3b15e1170c5192e4771
